 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -7.2828 -5.0141 -2.8892 -3.0565 -6.3679-12.0654-10.2334 -6.1393 -2.9939 -2.1700
 -1.9170 -1.9312 -2.9463 -3.7515 -3.9916 -2.7176
 -8.1516 -6.7544 -5.3835 -5.1072 -6.2883 -8.8777 -8.1606 -6.4577 -4.9535 -4.2565
 -3.8505 -3.6752 -3.9453 -4.1202 -3.9598 -2.6939 -1.9467 -1.4255 -1.3162
 -8.2183 -7.4195 -6.6083 -6.1259 -6.0799 -6.6634 -6.4698 -6.0612 -5.5614 -5.0777
 -4.6858 -4.4206 -4.2534 -4.0441 -3.6977 -2.5351 -1.7180 -1.2342 -0.9530 -0.6862
 -0.2621
 -7.4829 -7.0094 -6.5636 -6.1126 -5.7426 -5.4226 -5.1610 -4.9500 -4.8177 -4.6337
 -4.4228 -4.1672 -3.8706 -3.5233 -3.2053 -2.2412 -1.5436 -1.0372 -0.6662 -0.3842
 -0.1611  0.0234  0.1787
 -7.1093 -6.6803 -6.2654 -5.8500 -5.4654 -5.1095 -4.7925 -4.5192 -4.2847 -4.0751
 -3.8683 -3.6427 -3.3903 -3.1101 -2.8146 -2.0498 -1.4075 -0.9457 -0.6138 -0.3633
 -0.1639  0.0022  0.1444  0.2693  0.3821
 -6.7542 -6.3614 -5.9748 -5.5908 -5.2108 -4.8429 -4.4966 -4.1834 -3.9075 -3.6638
 -3.4411 -3.2246 -2.9981 -2.7567 -2.5036 -1.8803 -1.3077 -0.8833 -0.5803 -0.3538
 -0.1738 -0.0234  0.1066  0.2213  0.3240  0.4172
 -6.4177 -6.0527 -5.6918 -5.3350 -4.9787 -4.6228 -4.2733 -3.9426 -3.6414 -3.3736
 -3.1352 -2.9162 -2.7056 -2.4925 -2.2723 -1.7327 -1.2442 -0.8500 -0.5657 -0.3557
 -0.1908 -0.0534  0.0653  0.1704  0.2645  0.3497  0.4267  0.4978  0.5629  0.6140
 -6.0997 -5.7542 -5.4164 -5.0859 -4.7570 -4.4268 -4.0944 -3.7678 -3.4580 -3.1759
 -2.9248 -2.7003 -2.4956 -2.3003 -2.1069 -1.6311 -1.2006 -0.8405 -0.5663 -0.3647
 -0.2100 -0.0837  0.0246  0.1202  0.2060  0.2836  0.3543  0.4177  0.4731  0.5197
  0.5565
 -5.8134 -5.4895 -5.1721 -4.8608 -4.5551 -4.2515 -3.9459 -3.6387 -3.3364 -3.0513
 -2.7913 -2.5599 -2.3538 -2.1665 -1.9886 -1.5656 -1.1758 -0.8439 -0.5794 -0.3795
 -0.2290 -0.1105 -0.0116  0.0745  0.1514  0.2208  0.2835  0.3412  0.3918  0.4330
  0.4631
 -5.5901 -5.2726 -4.9673 -4.6733 -4.3848 -4.1021 -3.8206 -3.5382 -3.2550 -2.9772
 -2.7156 -2.4783 -2.2661 -2.0772 -1.9052 -1.5177 -1.1601 -0.8498 -0.5962 -0.3969
 -0.2457 -0.1308 -0.0394  0.0375  0.1049  0.1654  0.2198  0.2689  0.3129  0.3503
  0.3813
 -5.4114 -5.1118 -4.8190 -4.5327 -4.2563 -3.9861 -3.7217 -3.4601 -3.1990 -2.9383
 -2.6873 -2.4511 -2.2324 -2.0336 -1.8555 -1.4781 -1.1556 -0.8611 -0.6161 -0.4188
 -0.2650 -0.1485 -0.0603  0.0092  0.0674  0.1185  0.1640  0.2047  0.2412  0.2732
  0.3030
 -5.3252 -5.0071 -4.7103 -4.4329 -4.1630 -3.9003 -3.6454 -3.3967 -3.1517 -2.9067
 -2.6659 -2.4349 -2.2181 -2.0196 -1.8413 -1.4653 -1.1514 -0.8716 -0.6324 -0.4376
