 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F814W
 -2.0050 -1.0600  0.1303  0.5086 -0.3549 -2.3207 -1.5813 -0.3594  0.3723  0.4177
  0.4784  0.4507  0.0385 -0.4530 -0.7254 -0.6213
 -1.7951 -1.3785 -0.7941 -0.5524 -0.8149 -1.6785 -1.3558 -0.8157 -0.4242 -0.2892
 -0.1901 -0.1751 -0.3415 -0.5548 -0.6730 -0.5963 -0.5556 -0.5369 -0.5957
 -1.4759 -1.3605 -1.1601 -1.0230 -0.9852 -1.1825 -1.0978 -0.9589 -0.8128 -0.6877
 -0.6018 -0.5690 -0.5902 -0.6298 -0.6474 -0.5910 -0.5744 -0.5634 -0.5871 -0.6146
 -0.6184
 -1.0474 -1.0060 -0.9677 -0.9032 -0.8658 -0.8327 -0.8073 -0.7890 -0.7936 -0.7778
 -0.7567 -0.7310 -0.7075 -0.6781 -0.6486 -0.6054 -0.5808 -0.5787 -0.5912 -0.6137
 -0.6414 -0.6726 -0.7061
 -0.8501 -0.8411 -0.8303 -0.8061 -0.7864 -0.7652 -0.7454 -0.7284 -0.7151 -0.7044
 -0.6932 -0.6793 -0.6650 -0.6487 -0.6305 -0.6008 -0.5930 -0.5988 -0.6136 -0.6349
 -0.6609 -0.6903 -0.7223 -0.7572 -0.7958
 -0.6682 -0.6841 -0.6956 -0.7010 -0.6998 -0.6934 -0.6836 -0.6727 -0.6623 -0.6530
 -0.6451 -0.6379 -0.6296 -0.6222 -0.6124 -0.5942 -0.5969 -0.6102 -0.6291 -0.6517
 -0.6777 -0.7065 -0.7377 -0.7710 -0.8067 -0.8456
 -0.5016 -0.5350 -0.5636 -0.5879 -0.6060 -0.6173 -0.6219 -0.6219 -0.6191 -0.6148
 -0.6102 -0.6058 -0.6018 -0.5988 -0.5943 -0.5856 -0.5925 -0.6129 -0.6377 -0.6641
 -0.6918 -0.7212 -0.7524 -0.7851 -0.8194 -0.8558 -0.8949 -0.9392 -0.9898 -1.0427
