 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F098M
 -1.8861 -1.2716 -0.3618  0.0381 -0.5016 -1.6938 -1.0673 -0.0676  0.5082  0.5133
  0.5305  0.4512  0.0562 -0.4119 -0.7156 -0.7551
 -1.3019 -1.0580 -0.6549 -0.4687 -0.6588 -1.2030 -0.9553 -0.5361 -0.2472 -0.1694
 -0.1216 -0.1522 -0.3310 -0.5510 -0.6992 -0.7408 -0.7777 -0.8099 -0.9070
 -0.8951 -0.8586 -0.7616 -0.7037 -0.7154 -0.8641 -0.8278 -0.7454 -0.6563 -0.5841
 -0.5445 -0.5501 -0.5990 -0.6635 -0.7112 -0.7497 -0.8039 -0.8425 -0.9046 -0.9641
 -0.9975
 -0.6657 -0.6734 -0.6819 -0.6669 -0.6714 -0.6770 -0.6848 -0.6955 -0.7190 -0.7306
 -0.7382 -0.7424 -0.7478 -0.7495 -0.7516 -0.7818 -0.8165 -0.8624 -0.9141 -0.9695
 -1.0242 -1.0782 -1.1295
 -0.5558 -0.5808 -0.6041 -0.6163 -0.6319 -0.6455 -0.6583 -0.6714 -0.6858 -0.7013
 -0.7157 -0.7278 -0.7391 -0.7484 -0.7562 -0.7891 -0.8343 -0.8843 -0.9368 -0.9908
 -1.0449 -1.0984 -1.1503 -1.2012 -1.2520
 -0.4644 -0.5004 -0.5337 -0.5631 -0.5884 -0.6101 -0.6290 -0.6463 -0.6627 -0.6790
 -0.6955 -0.7120 -0.7273 -0.7425 -0.7556 -0.7923 -0.8433 -0.8978 -0.9529 -1.0077
 -1.0623 -1.1162 -1.1689 -1.2201 -1.2699 -1.3194
 -0.3916 -0.4322 -0.4707 -0.5073 -0.5409 -0.5708 -0.5969 -0.6202 -0.6413 -0.6608
 -0.6793 -0.6973 -0.7152 -0.7334 -0.7498 -0.7914 -0.8435 -0.9029 -0.9624 -1.0202
 -1.0764 -1.1316 -1.1854 -1.2375 -1.2880 -1.3373 -1.3861 -1.4375 -1.4936 -1.5520
 -0.3375 -0.3762 -0.4151 -0.4541 -0.4922 -0.5281 -0.5609 -0.5905 -0.6171 -0.6412
 -0.6633 -0.6839 -0.7035 -0.7226 -0.7414 -0.7868 -0.8385 -0.8997 -0.9637 -1.0261
 -1.0859 -1.1436 -1.1993 -1.2533 -1.3053 -1.3555 -1.4038 -1.4529 -1.5055 -1.5629
 -1.6231
 -0.3079 -0.3388 -0.3726 -0.4091 -0.4469 -0.4852 -0.5223 -0.5571 -0.5891 -0.6182
 -0.6447 -0.6689 -0.6913 -0.7122 -0.7320 -0.7802 -0.8314 -0.8910 -0.9572 -1.0242
 -1.0890 -1.1507 -1.2096 -1.2663 -1.3207 -1.3729 -1.4235 -1.4722 -1.5217 -1.5749
 -1.6337
 -0.2992 -0.3214 -0.3480 -0.3785 -0.4119 -0.4480 -0.4856 -0.5230 -0.5590 -0.5925
 -0.6232 -0.6513 -0.6771 -0.7007 -0.7224 -0.7726 -0.8241 -0.8816 -0.9468 -1.0161
