 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F160W
 -0.8940 -2.2446 -3.7954 -3.5862 -1.4069  1.1156  0.1556 -1.1964 -1.8290 -1.7017
 -1.5135 -1.3995 -1.2691 -1.1873 -1.1583 -1.2874
 -0.8131 -1.3796 -2.1070 -2.0874 -1.2432 -0.1282 -0.4857 -1.0039 -1.2849 -1.2942
 -1.2653 -1.2473 -1.2166 -1.2039 -1.2152 -1.3333 -1.4675 -1.6047 -1.7565
 -0.9108 -1.0276 -1.2397 -1.2849 -1.1653 -0.8888 -0.9244 -0.9902 -1.0558 -1.1096
 -1.1480 -1.1752 -1.1972 -1.2230 -1.2551 -1.3642 -1.4845 -1.6179 -1.7580 -1.8951
 -2.0253
 -1.1871 -1.1886 -1.1935 -1.1787 -1.1731 -1.1661 -1.1605 -1.1553 -1.1418 -1.1477
 -1.1615 -1.1833 -1.2108 -1.2447 -1.2780 -1.3801 -1.5017 -1.6326 -1.7664 -1.8987
 -2.0289 -2.1586 -2.2871
 -1.2448 -1.2432 -1.2445 -1.2390 -1.2351 -1.2297 -1.2247 -1.2218 -1.2224 -1.2268
 -1.2361 -1.2510 -1.2712 -1.2973 -1.3296 -1.4218 -1.5282 -1.6477 -1.7754 -1.9050
 -2.0334 -2.1602 -2.2852 -2.4084 -2.5299
 -1.3255 -1.3175 -1.3126 -1.3087 -1.3039 -1.2980 -1.2918 -1.2879 -1.2881 -1.2932
 -1.3027 -1.3156 -1.3326 -1.3534 -1.3795 -1.4621 -1.5576 -1.6667 -1.7869 -1.9122
 -2.0380 -2.1622 -2.2844 -2.4048 -2.5234 -2.6404
 -1.4293 -1.4115 -1.3978 -1.3878 -1.3795 -1.3710 -1.3618 -1.3536 -1.3493 -1.3505
 -1.3576 -1.3703 -1.3865 -1.4050 -1.4277 -1.5010 -1.5899 -1.6896 -1.8009 -1.9203
 -2.0427 -2.1646 -2.2847 -2.4028 -2.5189 -2.6333 -2.7460 -2.8575 -2.9673 -3.0726
 -1.5562 -1.5252 -1.5001 -1.4803 -1.4644 -1.4508 -1.4374 -1.4243 -1.4135 -1.4077
 -1.4087 -1.4166 -1.4310 -1.4497 -1.4704 -1.5370 -1.6206 -1.7148 -1.8180 -1.9302
 -2.0481 -2.1674 -2.2855 -2.4017 -2.5158 -2.6280 -2.7383 -2.8470 -2.9547 -3.0610
 -3.1633
 -1.7043 -1.6595 -1.6213 -1.5890 -1.5621 -1.5397 -1.5199 -1.5012 -1.4838 -1.4700
 -1.4624 -1.4627 -1.4710 -1.4863 -1.5066 -1.5689 -1.6480 -1.7388 -1.8372 -1.9427
 -2.0549 -2.1707 -2.2867 -2.4012 -2.5135 -2.6237 -2.7322 -2.8389 -2.9440 -3.0480
 -3.1510
 -1.8573 -1.8061 -1.7592 -1.7162 -1.6765 -1.6423 -1.6127 -1.5861 -1.5616 -1.5395
 -1.5225 -1.5134 -1.5131 -1.5216 -1.5377 -1.5985 -1.6727 -1.7608 -1.8570 -1.9585
 -2.0653 -2.1769 -2.2904 -2.4034 -2.5144 -2.6231 -2.7299 -2.8349 -2.9381 -3.0400
 -3.1407
 -2.0057 -1.9558 -1.9049 -1.8532 -1.8033 -1.7572 -1.7163 -1.6798 -1.6469 -1.6170
 -1.5918 -1.5731 -1.5624 -1.5608 -1.5688 -1.6198 -1.6950 -1.7791 -1.8732 -1.9726
 -2.0757 -2.1827 -2.2924 -2.4031 -2.5127 -2.6202 -2.7255 -2.8287 -2.9300 -3.0297
 -3.1300
 -2.1679 -2.1086 -2.0512 -1.9955 -1.9390 -1.8842 -1.8325 -1.7856 -1.7427 -1.7025
 -1.6669 -1.6380 -1.6178 -1.6078 -1.6087 -1.6473 -1.7155 -1.7960 -1.8872 -1.9850
 -2.0863 -2.1902 -2.2963 -2.4040 -2.5116 -2.6179 -2.7221 -2.8240 -2.9237 -3.0216
 -3.1179
 -2.3439 -2.2646 -2.1981 -2.1431 -2.0836 -2.0233 -1.9582 -1.9022 -1.8503 -1.8032
