 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F555W
 -0.1572  1.6827  2.9759  2.0988 -0.9360 -5.7895 -4.4509 -2.2982 -1.1226 -1.0880
 -0.9172 -0.7842 -1.1901 -1.6667 -1.7168 -1.0984
 -3.1823 -2.2674 -1.4012 -1.4647 -2.4501 -4.5500 -3.9204 -2.8876 -2.1445 -1.8421
 -1.5735 -1.4139 -1.5129 -1.6515 -1.6006 -1.0562 -0.7093 -0.5047 -0.4681
 -4.2518 -3.8758 -3.3723 -3.0639 -2.9771 -3.4046 -3.1756 -2.8220 -2.4483 -2.1203
 -1.8666 -1.7052 -1.6233 -1.5537 -1.4363 -0.9859 -0.6694 -0.4788 -0.3816 -0.3001
 -0.1614
 -3.3657 -3.1425 -2.9374 -2.6988 -2.5170 -2.3534 -2.2165 -2.1013 -2.0342 -1.9226
 -1.7966 -1.6583 -1.5214 -1.3733 -1.2239 -0.8875 -0.6398 -0.4659 -0.3420 -0.2513
 -0.1804 -0.1216 -0.0699
 -2.9822 -2.8156 -2.6539 -2.4758 -2.3123 -2.1548 -2.0104 -1.8820 -1.7686 -1.6639
 -1.5581 -1.4455 -1.3302 -1.2125 -1.0941 -0.8191 -0.6080 -0.4585 -0.3500 -0.2673
 -0.2011 -0.1454 -0.0963 -0.0534 -0.0166
 -2.6166 -2.4956 -2.3719 -2.2416 -2.1046 -1.9652 -1.8284 -1.7005 -1.5840 -1.4786
 -1.3809 -1.2860 -1.1888 -1.0924 -0.9938 -0.7656 -0.5828 -0.4516 -0.3559 -0.2814
 -0.2206 -0.1687 -0.1228 -0.0815 -0.0441 -0.0115
 -2.2689 -2.1825 -2.0914 -1.9962 -1.8940 -1.7846 -1.6705 -1.5568 -1.4485 -1.3478
 -1.2553 -1.1692 -1.0866 -1.0057 -0.9230 -0.7270 -0.5642 -0.4452 -0.3597 -0.2936
 -0.2389 -0.1915 -0.1493 -0.1105 -0.0747 -0.0420 -0.0131  0.0078  0.0177  0.0181
 -1.9391 -1.8763 -1.8124 -1.7476 -1.6785 -1.6023 -1.5183 -1.4289 -1.3377 -1.2486
 -1.1642 -1.0851 -1.0110 -0.9403 -0.8708 -0.7005 -0.5528 -0.4394 -0.3594 -0.3005
 -0.2528 -0.2112 -0.1737 -0.1389 -0.1060 -0.0750 -0.0454 -0.0209 -0.0055 -0.0014
 -0.0074
 -1.6408 -1.5947 -1.5508 -1.5090 -1.4660 -1.4190 -1.3652 -1.3037 -1.2354 -1.1636
 -1.0913 -1.0211 -0.9542 -0.8906 -0.8290 -0.6803 -0.5451 -0.4362 -0.3566 -0.3011
 -0.2596 -0.2249 -0.1935 -0.1640 -0.1355 -0.1079 -0.0818 -0.0565 -0.0362 -0.0252
 -0.0265
 -1.3760 -1.3444 -1.3164 -1.2917 -1.2675 -1.2422 -1.2128 -1.1767 -1.1325 -1.0807
 -1.0240 -0.9652 -0.9065 -0.8493 -0.7938 -0.6608 -0.5366 -0.4322 -0.3531 -0.2970
 -0.2586 -0.2301 -0.2057 -0.1828 -0.1603 -0.1377 -0.1154 -0.0940 -0.0744 -0.0597
 -0.0503
 -1.1459 -1.1279 -1.1122 -1.0986 -1.0874 -1.0766 -1.0642 -1.0480 -1.0253 -0.9942
 -0.9553 -0.9108 -0.8629 -0.8134 -0.7638 -0.6425 -0.5290 -0.4288 -0.3504 -0.2928
 -0.2538 -0.2281 -0.2096 -0.1939 -0.1784 -0.1623 -0.1457 -0.1288 -0.1121 -0.0970
 -0.0827
 -0.9643 -0.9452 -0.9336 -0.9288 -0.9267 -0.9253 -0.9243 -0.9214 -0.9144 -0.8994
 -0.8767 -0.8477 -0.8137 -0.7758 -0.7349 -0.6265 -0.5198 -0.4245 -0.3467 -0.2888
 -0.2481 -0.2220 -0.2062 -0.1961 -0.1877 -0.1789 -0.1692 -0.1583 -0.1467 -0.1350
 -0.1245
 -0.8312 -0.7963 -0.7806 -0.7823 -0.7854 -0.7883 -0.7944 -0.8003 -0.8035 -0.8011
 -0.7927 -0.7788 -0.7600 -0.7365 -0.7072 -0.6129 -0.5090 -0.4193 -0.3420
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F555W
 -3.6704 -3.2946 -3.0446 -2.9136 -2.9008 -3.3135 -3.0443 -2.7907 -2.5897 -2.4215
 -2.1914 -1.9600 -1.8433 -1.7717 -1.6478 -1.1705
 -3.5159 -3.1523 -2.8912 -2.7230 -2.6440 -2.8062 -2.6430 -2.4765 -2.3235 -2.1787
 -2.0078 -1.8341 -1.7010 -1.5845 -1.4472 -1.0459 -0.7316 -0.5079 -0.3501
 -3.3547 -3.0097 -2.7469 -2.5549 -2.4280 -2.4145 -2.3123 -2.2013 -2.0829 -1.9584
 -1.8290 -1.6957 -1.5592 -1.4205 -1.2800 -0.9415 -0.6754 -0.4817 -0.3431 -0.2412
 -0.1625
 -3.1868 -2.8668 -2.6117 -2.4093 -2.2528 -2.1384 -2.0522 -1.9652 -1.8678 -1.7607
 -1.6552 -1.5447 -1.4180 -1.2797 -1.1462 -0.8573 -0.6307 -0.4630 -0.3410 -0.2494
 -0.1771 -0.1175 -0.0656
 -3.0122 -2.7236 -2.4856 -2.2862 -2.1183 -1.9779 -1.8627 -1.7682 -1.6782 -1.5855
 -1.4863 -1.3812 -1.2773 -1.1622 -1.0458 -0.7933 -0.5975 -0.4518 -0.3439 -0.2611
 -0.1945 -0.1385 -0.0901 -0.0476 -0.0112
 -2.8309 -2.5801 -2.3686 -2.1856 -2.0245 -1.8822 -1.7565 -1.6465 -1.5492 -1.4595
 -1.3684 -1.2714 -1.1760 -1.0772 -0.9742 -0.7473 -0.5728 -0.4440 -0.3486 -0.2740
 -0.2130 -0.1609 -0.1152 -0.0743 -0.0376 -0.0053
 -2.6380 -2.4250 -2.2434 -2.0832 -1.9383 -1.8053 -1.6827 -1.5699 -1.4671 -1.3725
 -1.2823 -1.1932 -1.1035 -1.0180 -0.9266 -0.7172 -0.5551 -0.4368 -0.3514 -0.2853
 -0.2304 -0.1830 -0.1409 -0.1026 -0.0674 -0.0356 -0.0075  0.0128  0.0221  0.0223
 -2.4436 -2.2626 -2.1084 -1.9718 -1.8462 -1.7283 -1.6162 -1.5097 -1.4087 -1.3140
 -1.2244 -1.1381 -1.0533 -0.9728 -0.8916 -0.6996 -0.5443 -0.4304 -0.3504 -0.2915
