 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -1.7160 -0.3767  1.0108  1.1432 -0.3646 -3.0320 -2.1965 -0.7647  0.0914  0.1313
  0.2231  0.2428 -0.1451 -0.6233 -0.8485 -0.5878
 -1.8510 -1.2783 -0.6196 -0.4912 -1.0362 -2.2318 -1.8884 -1.2560 -0.7813 -0.6053
 -0.4575 -0.3978 -0.5333 -0.7196 -0.7894 -0.5519 -0.3719 -0.2535 -0.2141
 -1.7738 -1.6220 -1.4019 -1.2858 -1.3059 -1.5921 -1.5102 -1.3411 -1.1466 -0.9702
 -0.8362 -0.7635 -0.7500 -0.7536 -0.7247 -0.5174 -0.3580 -0.2461 -0.1790 -0.1241
 -0.0465
 -1.4844 -1.4078 -1.3361 -1.2406 -1.1737 -1.1130 -1.0619 -1.0200 -1.0045 -0.9633
 -0.9130 -0.8542 -0.7951 -0.7254 -0.6544 -0.4843 -0.3441 -0.2393 -0.1615 -0.1034
 -0.0578 -0.0200  0.0122
 -1.2660 -1.2238 -1.1794 -1.1213 -1.0678 -1.0139 -0.9629 -0.9165 -0.8753 -0.8371
 -0.7967 -0.7507 -0.7015 -0.6477 -0.5896 -0.4483 -0.3294 -0.2378 -0.1686 -0.1154
 -0.0732 -0.0383 -0.0083  0.0176  0.0397
 -1.0594 -1.0438 -1.0221 -0.9926 -0.9556 -0.9137 -0.8694 -0.8254 -0.7832 -0.7435
 -0.7056 -0.6675 -0.6260 -0.5832 -0.5356 -0.4171 -0.3148 -0.2345 -0.1734 -0.1258
 -0.0877 -0.0561 -0.0288 -0.0047  0.0168  0.0353
 -0.8646 -0.8678 -0.8642 -0.8545 -0.8372 -0.8124 -0.7814 -0.7467 -0.7103 -0.6737
 -0.6379 -0.6028 -0.5675 -0.5319 -0.4924 -0.3907 -0.3003 -0.2294 -0.1759 -0.1346
 -0.1013 -0.0734 -0.0493 -0.0277 -0.0080  0.0096  0.0248  0.0356  0.0399  0.0354
 -0.6816 -0.6958 -0.7057 -0.7117 -0.7121 -0.7053 -0.6908 -0.6699 -0.6439 -0.6149
 -0.5843 -0.5529 -0.5215 -0.4899 -0.4572 -0.3695 -0.2878 -0.2225 -0.1745 -0.1391
 -0.1113 -0.0881 -0.0680 -0.0499 -0.0330 -0.0172 -0.0025  0.0091  0.0152  0.0139
  0.0036
 -0.5188 -0.5376 -0.5552 -0.5718 -0.5851 -0.5934 -0.5953 -0.5897 -0.5770 -0.5587
 -0.5359 -0.5106 -0.4838 -0.4561 -0.4274 -0.3518 -0.2773 -0.2154 -0.1699 -0.1383
 -0.1155 -0.0978 -0.0826 -0.0690 -0.0560 -0.0434 -0.0318 -0.0205 -0.0124 -0.0107
 -0.0175
 -0.3743 -0.3968 -0.4196 -0.4426 -0.4641 -0.4830 -0.4974 -0.5057 -0.5068 -0.5004
 -0.4877 -0.4701 -0.4491 -0.4259 -0.4011 -0.3346 -0.2670 -0.2080 -0.1636 -0.1330
 -0.1134 -0.1005 -0.0910 -0.0827 -0.0747 -0.0665 -0.0585 -0.0508 -0.0442 -0.0410
 -0.0414
 -0.2498 -0.2748 -0.3001 -0.3256 -0.3516 -0.3766 -0.3991 -0.4179 -0.4312 -0.4371
 -0.4354 -0.4274 -0.4142 -0.3971 -0.3770 -0.3189 -0.2577 -0.2016 -0.1577 -0.1267
 -0.1074 -0.0971 -0.0921 -0.0894 -0.0871 -0.0844 -0.0812 -0.0777 -0.0741 -0.0714
 -0.0696
 -0.1487 -0.1716 -0.1963 -0.2227 -0.2506 -0.2782 -0.3055 -0.3306 -0.3522 -0.3674
