 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -7.9217 -5.6467 -3.5224 -3.7039 -7.0076-12.7107-10.8672 -6.7702 -3.6385 -2.7988
 -2.5468 -2.5707 -3.5779 -4.3940 -4.6278 -3.3568
 -8.7905 -7.3901 -6.0200 -5.7498 -6.9284 -9.5185 -8.7971 -7.0929 -5.5939 -4.8908
 -4.4852 -4.3142 -4.5816 -4.7603 -4.5979 -3.3320 -2.5881 -2.0624 -1.9544
 -8.8572 -8.0576 -7.2467 -6.7657 -6.7197 -7.3021 -7.1079 -6.6990 -6.1999 -5.7154
 -5.3235 -5.0593 -4.8922 -4.6830 -4.3366 -3.1732 -2.3578 -1.8731 -1.5914 -1.3250
 -0.9013
 -8.1218 -7.6492 -7.2025 -6.7516 -6.3815 -6.0615 -5.7996 -5.5886 -5.4566 -5.2726
 -5.0617 -4.8061 -4.5096 -4.1622 -3.8439 -2.8804 -2.1829 -1.6765 -1.3048 -1.0228
 -0.7997 -0.6155 -0.4602
 -7.7481 -7.3196 -6.9043 -6.4889 -6.1043 -5.7484 -5.4314 -5.1581 -4.9236 -4.7140
 -4.5072 -4.2817 -4.0293 -3.7491 -3.4535 -2.6888 -2.0465 -1.5847 -1.2527 -1.0022
 -0.8028 -0.6367 -0.4945 -0.3696 -0.2568
 -7.3931 -7.0004 -6.6137 -6.2297 -5.8497 -5.4818 -5.1356 -4.8224 -4.5464 -4.3028
 -4.0801 -3.8636 -3.6371 -3.3956 -3.1426 -2.5192 -1.9466 -1.5222 -1.2193 -0.9928
 -0.8128 -0.6623 -0.5323 -0.4176 -0.3149 -0.2217
 -7.0567 -6.6916 -6.3307 -5.9740 -5.6176 -5.2617 -4.9122 -4.5815 -4.2804 -4.0125
 -3.7741 -3.5552 -3.3445 -3.1315 -2.9112 -2.3716 -1.8832 -1.4890 -1.2046 -0.9946
 -0.8297 -0.6923 -0.5736 -0.4686 -0.3744 -0.2892 -0.2122 -0.1411 -0.0761 -0.0249
 -6.7389 -6.3932 -6.0553 -5.7248 -5.3960 -5.0657 -4.7333 -4.4067 -4.0969 -3.8148
 -3.5637 -3.3392 -3.1346 -2.9393 -2.7459 -2.2700 -1.8395 -1.4794 -1.2053 -1.0036
 -0.8490 -0.7227 -0.6143 -0.5187 -0.4330 -0.3554 -0.2846 -0.2211 -0.1658 -0.1193
 -0.0824
 -6.4527 -6.1286 -5.8110 -5.4997 -5.1940 -4.8905 -4.5849 -4.2776 -3.9754 -3.6903
 -3.4303 -3.1988 -2.9927 -2.8054 -2.6275 -2.2045 -1.8147 -1.4828 -1.2183 -1.0184
 -0.8680 -0.7495 -0.6505 -0.5644 -0.4875 -0.4181 -0.3555 -0.2978 -0.2471 -0.2059
 -0.1758
 -6.2293 -5.9116 -5.6062 -5.3122 -5.0238 -4.7410 -4.4595 -4.1771 -3.8940 -3.6161
 -3.3546 -3.1172 -2.9050 -2.7162 -2.5443 -2.1566 -1.7991 -1.4888 -1.2352 -1.0359
 -0.8846 -0.7697 -0.6783 -0.6015 -0.5340 -0.4736 -0.4191 -0.3700 -0.3260 -0.2886
 -0.2577
 -6.0503 -5.7507 -5.4579 -5.1716 -4.8952 -4.6250 -4.3606 -4.0991 -3.8380 -3.5772
 -3.3262 -3.0900 -2.8713 -2.6725 -2.4944 -2.1171 -1.7945 -1.5000 -1.2551 -1.0578
 -0.9040 -0.7874 -0.6993 -0.6297 -0.5715 -0.5204 -0.4750 -0.4342 -0.3977 -0.3657
 -0.3360
 -5.9636 -5.6459 -5.3492 -5.0718 -4.8020 -4.5393 -4.2844 -4.0356 -3.7907 -3.5458
 -3.3050 -3.0739 -2.8571 -2.6585 -2.4802 -2.1043 -1.7904 -1.5105 -1.2713 -1.0765
 -0.9219 -0.8025 -0.7130 -0.6468 -0.5959 -0.5543 -0.5185 -0.4869 -0.4588 -0.4342
 -0.4134
 -5.9692 -5.5971 -5.2801 -5.0128 -4.7442 -4.4839 -4.2202 -3.9794 -3.7447 -3.5156
 -3.2919 -3.0732 -2.8593 -2.6742 -2.5017 -2.1183 -1.7868 -1.5203 -1.2838
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F390M
 -7.9633 -7.6866 -7.5074 -7.4672 -7.6015 -8.1200 -7.7247 -7.2072 -6.7465 -6.4017
 -6.0559 -5.7358 -5.5941 -5.4311 -5.1287 -4.0319
 -7.7463 -7.4040 -7.1377 -6.9731 -6.9345 -7.1297 -6.8961 -6.5926 -6.2895 -6.0124
 -5.7206 -5.4259 -5.1858 -4.9271 -4.6022 -3.6256 -2.7471 -2.0768 -1.5751
 -7.5651 -7.1717 -6.8367 -6.5737 -6.3979 -6.3490 -6.1932 -6.0129 -5.8092 -5.5829
 -5.3346 -5.0651 -4.7753 -4.4658 -4.1374 -3.2741 -2.4928 -1.8919 -1.4507 -1.1179
 -0.8548
 -7.4197 -6.9897 -6.6044 -6.2690 -5.9917 -5.7779 -5.6160 -5.4683 -5.3058 -5.1131
 -4.8979 -4.6533 -4.3624 -4.0472 -3.7343 -2.9774 -2.2892 -1.7499 -1.3581 -1.0634
 -0.8308 -0.6398 -0.4749
 -7.3101 -6.8580 -6.4408 -6.0590 -5.7160 -5.4164 -5.1645 -4.9586 -4.7792 -4.6031
 -4.4106 -4.1905 -3.9472 -3.6713 -3.3929 -2.7355 -2.1363 -1.6508 -1.2973 -1.0333
 -0.8252 -0.6534 -0.5071 -0.3793 -0.2637
 -7.2363 -6.7766 -6.3459 -5.9437 -5.5708 -5.2294 -4.9225 -4.6537 -4.4214 -4.2186
 -4.0249 -3.8234 -3.6106 -3.3759 -3.1291 -2.5529 -2.0302 -1.5897 -1.2633 -1.0219
 -0.8328 -0.6766 -0.5431 -0.4259 -0.3214 -0.2268
 -7.1863 -6.7302 -6.2988 -5.8900 -5.5049 -5.1442 -4.8098 -4.5042 -4.2311 -3.9895
 -3.7729 -3.5709 -3.3717 -3.1680 -2.9488 -2.4267 -1.9651 -1.5606 -1.2512 -1.0240
 -0.8488 -0.7052 -0.5829 -0.4755 -0.3796 -0.2928 -0.2143 -0.1417 -0.0753 -0.0231
 -7.1660 -6.7165 -6.2900 -5.8847 -5.4972 -5.1296 -4.7822 -4.4575 -4.1577 -3.8873
