 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F775W
 -0.8916  0.2056  1.4899  1.7995  0.7622 -1.4879 -0.7016  0.5956  1.3736  1.4356
  1.5215  1.5067  1.1049  0.6098  0.3600  0.5062
 -0.8221 -0.3322  0.3114  0.5423  0.2237 -0.7631 -0.4170  0.1620  0.5853  0.7399
  0.8603  0.8895  0.7343  0.5250  0.4212  0.5323  0.5976  0.6277  0.5756
 -0.5617 -0.4154 -0.1803 -0.0249  0.0202 -0.2008 -0.1044  0.0517  0.2163  0.3587
  0.4607  0.5066  0.4962  0.4650  0.4575  0.5414  0.5790  0.6030  0.5890  0.5693
  0.5736
 -0.1104 -0.0440  0.0148  0.0979  0.1516  0.1990  0.2362  0.2646  0.2668  0.2919
  0.3226  0.3580  0.3908  0.4298  0.4689  0.5335  0.5746  0.5891  0.5866  0.5722
  0.5513  0.5256  0.4955
  0.1145  0.1428  0.1705  0.2105  0.2448  0.2792  0.3107  0.3380  0.3605  0.3797
  0.3992  0.4214  0.4438  0.4679  0.4939  0.5417  0.5641  0.5699  0.5647  0.5515
  0.5325  0.5089  0.4816  0.4500  0.4137
  0.3214  0.3203  0.3226  0.3304  0.3442  0.3624  0.3831  0.4039  0.4232  0.4407
  0.4561  0.4706  0.4860  0.5003  0.5170  0.5510  0.5616  0.5592  0.5495  0.5349
  0.5160  0.4933  0.4675  0.4385  0.4061  0.3695
  0.5102  0.4885  0.4711  0.4576  0.4498  0.4486  0.4534  0.4623  0.4733  0.4851
  0.4969  0.5080  0.5185  0.5276  0.5382  0.5614  0.5671  0.5570  0.5410  0.5224
  0.5018  0.4788  0.4533  0.4257  0.3956  0.3626  0.3260  0.2833  0.2337  0.1816
  0.6810  0.6474  0.6160  0.5866  0.5611  0.5414  0.5287  0.5227  0.5221  0.5252
  0.5306  0.5372  0.5443  0.5511  0.5576  0.5730  0.5766  0.5636  0.5415  0.5169
  0.4921  0.4668  0.4403  0.4125  0.3833  0.3524  0.3195  0.2824  0.2388  0.1883
  0.1345
  0.8263  0.7884  0.7497  0.7103  0.6728  0.6389  0.6105  0.5892  0.5753  0.5675
  0.5646  0.5649  0.5672  0.5708  0.5752  0.5850  0.5873  0.5752  0.5506  0.5205
  0.4897  0.4597  0.4302  0.4007  0.3708  0.3403  0.3082  0.2746  0.2372  0.1935
  0.1419
  0.9490  0.9086  0.8660  0.8215  0.7772  0.7344  0.6950  0.6610  0.6340  0.6147
  0.6021  0.5948  0.5913  0.5905  0.5918  0.5976  0.5981  0.5878  0.5641  0.5315
  0.4954  0.4594  0.4249  0.3917  0.3595  0.3276  0.2955  0.2625  0.2277  0.1889
  0.1460
  1.0475  1.0071  0.9643  0.9194  0.8726  0.8256  0.7799  0.7373  0.6996  0.6690
  0.6461  0.6299  0.6191  0.6126  0.6095  0.6094  0.6091  0.5995  0.5784  0.5470
  0.5089  0.4681  0.4278  0.3894  0.3531  0.3183  0.2843  0.2506  0.2166  0.1811
  0.1433
  1.1201  1.0839  1.0442  1.0014  0.9553  0.9078  0.8596  0.8126  0.7684  0.7301
  0.6983  0.6726  0.6528  0.6386  0.6296  0.6213  0.6189  0.6102  0.5911  0.5619
  0.5249  0.4827  0.4384  0.3946  0.3530  0.3137  0.2762  0.2402  0.2050  0.1697
  0.1333
  1.1669  1.1391  1.1057  1.0675  1.0253  0.9810  0.9311  0.8828  0.8359  0.7931
  0.7549  0.7208  0.6905  0.6685  0.6520  0.6333  0.6275  0.6199  0.6022
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F775W
 -0.0471  0.0532  0.1115  0.1221  0.0785 -0.1688 -0.0617  0.0559  0.1491  0.2210
  0.3241  0.4208  0.4360  0.4106  0.4166  0.5519
 -0.0580  0.0412  0.1086  0.1406  0.1326  0.0087  0.0537  0.1104  0.1638  0.2132
  0.2773  0.3409  0.3757  0.3949  0.4261  0.5439  0.6085  0.6337  0.6352
 -0.0455  0.0479  0.1183  0.1638  0.1814  0.1444  0.1536  0.1716  0.1969  0.2281
  0.2639  0.3032  0.3452  0.3890  0.4340  0.5366  0.5907  0.6109  0.6107  0.5973
  0.5754
 -0.0096  0.0733  0.1406  0.1917  0.2248  0.2383  0.2380  0.2394  0.2485  0.2655
  0.2839  0.3077  0.3446  0.3928  0.4403  0.5300  0.5760  0.5914  0.5893  0.5765
  0.5564  0.5306  0.5000
  0.0497  0.1174  0.1755  0.2243  0.2628  0.2904  0.3069  0.3138  0.3186  0.3255
  0.3374  0.3544  0.3739  0.4063  0.4450  0.5241  0.5644  0.5752  0.5709  0.5580
  0.5391  0.5153  0.4873  0.4551  0.4180
  0.1324  0.1802  0.2230  0.2616  0.2954  0.3236  0.3456  0.3615  0.3724  0.3803
  0.3898  0.4029  0.4151  0.4313  0.4564  0.5216  0.5578  0.5645  0.5566  0.5423
  0.5233  0.5005  0.4742  0.4445  0.4112  0.3740
  0.2364  0.2647  0.2897  0.3138  0.3372  0.3594  0.3794  0.3965  0.4105  0.4223
  0.4336  0.4454  0.4583  0.4672  0.4824  0.5266  0.5574  0.5612  0.5486  0.5305
  0.5098  0.4866  0.4607  0.4323  0.4014  0.3676  0.3302  0.2868  0.2368  0.1846
  0.3539  0.3664  0.3756  0.3841  0.3942  0.4061  0.4192  0.4325  0.4450  0.4565
  0.4674  0.4787  0.4910  0.5007  0.5114  0.5418  0.5638  0.5654  0.5489  0.5255
  0.5007  0.4751  0.4481  0.4196  0.3897  0.3578  0.3233  0.2857  0.2421  0.1912
  0.1373
  0.4639  0.4730  0.4750  0.4707  0.4676  0.4673  0.4705  0.4764  0.4836  0.4916
  0.5000  0.5087  0.5183  0.5282  0.5367  0.5607  0.5757  0.5756  0.5574  0.5288
