 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F098M
 -0.0487  0.5585  1.4874  1.8783  1.3420  0.1344  0.7840  1.7758  2.3581  2.3645
  2.3684  2.2940  1.9012  1.4324  1.1306  1.0813
  0.5386  0.7768  1.1899  1.3713  1.1826  0.6321  0.8889  1.3054  1.5965  1.6757
  1.7186  1.6895  1.5110  1.2905  1.1437  1.0974  1.0646  1.0295  0.9317
  0.9457  0.9793  1.0802  1.1363  1.1248  0.9750  1.0127  1.0950  1.1841  1.2573
  1.2964  1.2907  1.2413  1.1765  1.1296  1.0897  1.0366  0.9972  0.9347  0.8749
  0.8423
  1.1726  1.1660  1.1583  1.1733  1.1686  1.1630  1.1554  1.1445  1.1210  1.1093
  1.1018  1.0976  1.0922  1.0905  1.0883  1.0582  1.0235  0.9773  0.9256  0.8708
  0.8157  0.7618  0.7102
  1.2836  1.2589  1.2359  1.2237  1.2081  1.1945  1.1817  1.1686  1.1542  1.1387
  1.1243  1.1122  1.1009  1.0915  1.0838  1.0509  1.0057  0.9556  0.9031  0.8492
  0.7950  0.7415  0.6896  0.6387  0.5879
  1.3756  1.3395  1.3062  1.2768  1.2516  1.2299  1.2109  1.1937  1.1773  1.1610
  1.1444  1.1279  1.1127  1.0974  1.0844  1.0477  0.9967  0.9422  0.8871  0.8322
  0.7776  0.7237  0.6711  0.6199  0.5701  0.5206
  1.4486  1.4078  1.3692  1.3326  1.2991  1.2692  1.2430  1.2198  1.1987  1.1792
  1.1607  1.1426  1.1248  1.1066  1.0901  1.0486  0.9965  0.9371  0.8776  0.8198
  0.7635  0.7084  0.6546  0.6024  0.5519  0.5027  0.4540  0.4025  0.3463  0.2880
  1.5025  1.4638  1.4249  1.3859  1.3478  1.3119  1.2791  1.2495  1.2229  1.1987
  1.1766  1.1560  1.1364  1.1174  1.0985  1.0531  1.0015  0.9403  0.8763  0.8138
  0.7540  0.6964  0.6406  0.5866  0.5346  0.4844  0.4361  0.3871  0.3345  0.2771
  0.2169
  1.5324  1.5013  1.4673  1.4309  1.3930  1.3548  1.3176  1.2828  1.2509  1.2217
  1.1953  1.1711  1.1487  1.1277  1.1080  1.0598  1.0086  0.9490  0.8827  0.8157
  0.7510  0.6893  0.6303  0.5736  0.5193  0.4671  0.4165  0.3677  0.3182  0.2650
  0.2063
  1.5408  1.5186  1.4920  1.4615  1.4281  1.3920  1.3544  1.3169  1.2809  1.2475
  1.2168  1.1887  1.1629  1.1392  1.1175  1.0674  1.0159  0.9584  0.8932  0.8238
  0.7545  0.6877  0.6241  0.5637  0.5060  0.4510  0.3980  0.3468  0.2966  0.2452
  0.1924
  1.5293  1.5158  1.4984  1.4775  1.4516  1.4215  1.3876  1.3510  1.3134  1.2768
  1.2423  1.2101  1.1805  1.1536  1.1293  1.0755  1.0239  0.9678  0.9051  0.8368
  0.7656  0.6946  0.6261  0.5609  0.4990  0.4402  0.3839  0.3299  0.2777  0.2264
  0.1753
  1.4922  1.4929  1.4873  1.4762  1.4599  1.4384  1.4112  1.3793  1.3439  1.3072
  1.2705  1.2350  1.2016  1.1709  1.1434  1.0843  1.0311  0.9763  0.9156  0.8493
  0.7790  0.7067  0.6347  0.5649  0.4982  0.4349  0.3746  0.3170  0.2617  0.2080
  0.1553
  1.4297  1.4498  1.4587  1.4576  1.4530  1.4427  1.4224  1.3978  1.3679  1.3351
