 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F140W
  2.0075  2.1422  2.1513  1.9562  1.7884  2.3372  2.4968  2.1665  1.8549  1.8582
  1.9176  1.9987  2.0624  2.0697  2.0347  1.9185
  2.1952  2.2609  2.2842  2.2076  2.1370  2.3463  2.3726  2.2169  2.0696  2.0400
  2.0401  2.0546  2.0611  2.0440  2.0062  1.8971  1.7875  1.6782  1.5522
  2.2527  2.2694  2.2844  2.2715  2.2526  2.2745  2.2429  2.1923  2.1451  2.1086
  2.0826  2.0631  2.0402  2.0110  1.9764  1.8741  1.7660  1.6577  1.5425  1.4285
  1.3209
  2.1800  2.1677  2.1519  2.1479  2.1351  2.1219  2.1077  2.0928  2.0814  2.0639
  2.0453  2.0241  1.9996  1.9707  1.9453  1.8495  1.7470  1.6387  1.5286  1.4185
  1.3094  1.2001  1.0916
  2.1701  2.1540  2.1367  2.1248  2.1113  2.0978  2.0830  2.0659  2.0456  2.0235
  2.0014  1.9795  1.9567  1.9319  1.9037  1.8205  1.7251  1.6219  1.5147  1.4068
  1.2997  1.1934  1.0880  0.9830  0.8783
  2.1368  2.1219  2.1066  2.0924  2.0797  2.0673  2.0539  2.0377  2.0181  1.9949
  1.9694  1.9437  1.9187  1.8938  1.8676  1.7923  1.7035  1.6055  1.5018  1.3962
  1.2909  1.1868  1.0838  0.9817  0.8802  0.7789
  2.0800  2.0714  2.0616  2.0507  2.0402  2.0304  2.0204  2.0082  1.9918  1.9711
  1.9465  1.9191  1.8910  1.8639  1.8370  1.7649  1.6822  1.5895  1.4899  1.3867
  1.2830  1.1803  1.0791  0.9790  0.8800  0.7817  0.6838  0.5852  0.4861  0.3897
  1.9996  2.0025  2.0017  1.9976  1.9920  1.9860  1.9801  1.9729  1.9623  1.9466
  1.9258  1.9006  1.8722  1.8427  1.8139  1.7417  1.6623  1.5741  1.4787  1.3784
  1.2762  1.1744  1.0742  0.9756  0.8784  0.7824  0.6873  0.5923  0.4964  0.3999
  0.3055
  1.8952  1.9124  1.9239  1.9303  1.9331  1.9333  1.9324  1.9307  1.9265  1.9177
  1.9031  1.8824  1.8570  1.8283  1.7981  1.7236  1.6456  1.5603  1.4681  1.3710
  1.2707  1.1696  1.0698  0.9719  0.8759  0.7814  0.6880  0.5955  0.5032  0.4103
  0.3162
  1.7777  1.8056  1.8280  1.8454  1.8594  1.8691  1.8759  1.8805  1.8829  1.8818
  1.8749  1.8610  1.8407  1.8151  1.7863  1.7089  1.6316  1.5479  1.4578  1.3630
  1.2648  1.1647  1.0650  0.9669  0.8710  0.7773  0.6851  0.5942  0.5042  0.4142
  0.3240
  1.6543  1.6877  1.7188  1.7478  1.7727  1.7936  1.8101  1.8229  1.8325  1.8388
  1.8388  1.8322  1.8194  1.8008  1.7770  1.7028  1.6205  1.5385  1.4501  1.3573
  1.2613  1.1629  1.0637  0.9655  0.8693  0.7755  0.6838  0.5941  0.5057  0.4182
  0.3297
  1.5083  1.5587  1.6021  1.6392  1.6738  1.7050  1.7321  1.7547  1.7731  1.7870
  1.7956  1.7980  1.7936  1.7818  1.7627  1.6931  1.6114  1.5303  1.4438  1.3525
  1.2580  1.1614  1.0636  0.9656  0.8690  0.7746  0.6826  0.5929  0.5053  0.4192
  0.3340
  1.3396  1.4185  1.4779  1.5196  1.5627  1.6033  1.6426  1.6749  1.7026  1.7247
  1.7412  1.7526  1.7594  1.7581  1.7432  1.6801  1.6043  1.5233  1.4389
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F140W
  2.0221  2.0328  2.0499  2.0738  2.1003  2.1779  2.1774  2.1329  2.0947  2.0843
  2.0783  2.0786  2.0783  2.0610  2.0318  1.9326
  2.0418  2.0435  2.0499  2.0616  2.0762  2.1174  2.1237  2.1093  2.0932  2.0837
  2.0729  2.0618  2.0480  2.0255  1.9960  1.9024  1.7938  1.6809  1.5659
