 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -3.1811 -1.2585  0.4055 -0.0045 -2.8831 -7.9754 -6.1378 -3.3281 -1.7560 -1.7228
 -1.6074 -1.5354 -2.0831 -2.5976 -2.6122 -1.8057
 -5.1922 -4.0937 -2.9964 -2.8447 -3.7969 -6.0812 -5.3044 -4.0413 -3.1313 -2.7890
 -2.5068 -2.3511 -2.4891 -2.6154 -2.5033 -1.7608 -1.2787 -0.9786 -0.8805
 -5.7359 -5.1847 -4.5541 -4.1670 -4.0803 -4.5959 -4.3719 -3.9957 -3.5786 -3.1990
 -2.9001 -2.7071 -2.5992 -2.4856 -2.3019 -1.6618 -1.1925 -0.9105 -0.7465 -0.6043
 -0.3880
 -4.8121 -4.5315 -4.2676 -3.9714 -3.7332 -3.5194 -3.3403 -3.1911 -3.0979 -2.9527
 -2.7874 -2.6031 -2.4133 -2.2082 -2.0080 -1.5087 -1.1369 -0.8667 -0.6677 -0.5157
 -0.3929 -0.2881 -0.1957
 -4.4134 -4.1892 -3.9678 -3.7285 -3.5024 -3.2846 -3.0847 -2.9074 -2.7510 -2.6069
 -2.4619 -2.3071 -2.1455 -1.9786 -1.8104 -1.4041 -1.0751 -0.8362 -0.6601 -0.5231
 -0.4105 -0.3133 -0.2265 -0.1479 -0.0763
 -4.0205 -3.8432 -3.6605 -3.4684 -3.2669 -3.0622 -2.8620 -2.6754 -2.5068 -2.3551
 -2.2153 -2.0795 -1.9404 -1.7999 -1.6567 -1.3193 -1.0293 -0.8143 -0.6559 -0.5319
 -0.4289 -0.3392 -0.2583 -0.1839 -0.1150 -0.0514
 -3.6335 -3.4935 -3.3457 -3.1911 -3.0266 -2.8522 -2.6722 -2.4951 -2.3284 -2.1760
 -2.0380 -1.9108 -1.7893 -1.6693 -1.5469 -1.2543 -0.9995 -0.8010 -0.6551 -0.5421
 -0.4481 -0.3658 -0.2911 -0.2215 -0.1563 -0.0951 -0.0390  0.0119  0.0547  0.0795
 -3.2524 -3.1401 -3.0234 -2.9029 -2.7754 -2.6384 -2.4914 -2.3389 -2.1873 -2.0435
 -1.9108 -1.7893 -1.6775 -1.5713 -1.4670 -1.2108 -0.9821 -0.7955 -0.6558 -0.5503
 -0.4646 -0.3899 -0.3220 -0.2584 -0.1980 -0.1405 -0.0861 -0.0365  0.0066  0.0401
  0.0567
 -2.8907 -2.8016 -2.7106 -2.6180 -2.5217 -2.4194 -2.3087 -2.1887 -2.0625 -1.9361
 -1.8142 -1.7004 -1.5954 -1.4979 -1.4048 -1.1804 -0.9722 -0.7963 -0.6587 -0.5558
 -0.4757 -0.4085 -0.3481 -0.2915 -0.2373 -0.1849 -0.1349 -0.0867 -0.0433 -0.0083
  0.0162
 -2.5575 -2.4873 -2.4177 -2.3487 -2.2776 -2.2033 -2.1233 -2.0357 -1.9394 -1.8361
 -1.7310 -1.6286 -1.5312 -1.4401 -1.3544 -1.1535 -0.9630 -0.7970 -0.6627 -0.5591
 -0.4808 -0.4191 -0.3661 -0.3173 -0.2705 -0.2247 -0.1801 -0.1372 -0.0968 -0.0613
 -0.0309
 -2.2512 -2.2021 -2.1518 -2.1005 -2.0495 -1.9966 -1.9405 -1.8796 -1.8116 -1.7348
 -1.6516 -1.5654 -1.4790 -1.3947 -1.3143 -1.1280 -0.9564 -0.7986 -0.6681 -0.5642
 -0.4847 -0.4246 -0.3767 -0.3353 -0.2966 -0.2586 -0.2212 -0.1844 -0.1486 -0.1148
 -0.0830
 -1.9848 -1.9460 -1.9089 -1.8734 -1.8383 -1.8017 -1.7639 -1.7229 -1.6770 -1.6222
 -1.5598 -1.4924 -1.4223 -1.3512 -1.2806 -1.1092 -0.9472 -0.7985 -0.6710 -0.5684
 -0.4881 -0.4271 -0.3811 -0.3447 -0.3132 -0.2834 -0.2541 -0.2247 -0.1954 -0.1668
 -0.1398
 -1.7583 -1.7190 -1.6890 -1.6674 -1.6440 -1.6186 -1.5951 -1.5692 -1.5394 -1.5036
 -1.4618 -1.4145 -1.3621 -1.3096 -1.2535 -1.0972 -0.9354 -0.7967 -0.6714
