 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -1.2257 -0.0040  1.3253  1.5390  0.3045 -2.1171 -1.3012  0.0586  0.8777  0.9599
  1.0513  1.0449  0.6509  0.1561 -0.0923  0.0779
 -1.2400 -0.6928 -0.0248  0.1697 -0.2325 -1.3012 -0.9479 -0.3445  0.1010  0.2707
  0.3991  0.4356  0.2857  0.0800 -0.0200  0.1100  0.1904  0.2298  0.1818
 -1.0381 -0.8722 -0.6236 -0.4693 -0.4397 -0.6835 -0.5879 -0.4266 -0.2524 -0.1004
  0.0092  0.0611  0.0549  0.0286  0.0261  0.1242  0.1736  0.2045  0.1950  0.1797
  0.1895
 -0.6200 -0.5422 -0.4711 -0.3780 -0.3170 -0.2641 -0.2212 -0.1880 -0.1827 -0.1535
 -0.1184 -0.0786 -0.0415  0.0020  0.0460  0.1205  0.1697  0.1903  0.1932  0.1832
  0.1667  0.1446  0.1185
 -0.3898 -0.3509 -0.3121 -0.2619 -0.2190 -0.1777 -0.1406 -0.1086 -0.0819 -0.0589
 -0.0356 -0.0096  0.0166  0.0445  0.0742  0.1308  0.1604  0.1718  0.1714  0.1624
  0.1473  0.1274  0.1037  0.0758  0.0430
 -0.1775 -0.1689 -0.1567 -0.1391 -0.1162 -0.0903 -0.0637 -0.0381 -0.0146  0.0066
  0.0256  0.0435  0.0622  0.0798  0.0997  0.1415  0.1587  0.1616  0.1563  0.1457
  0.1304  0.1113  0.0889  0.0634  0.0346  0.0015
  0.0169  0.0038 -0.0049 -0.0096 -0.0086 -0.0019  0.0095  0.0235  0.0387  0.0542
  0.0692  0.0834  0.0969  0.1089  0.1225  0.1526  0.1646  0.1597  0.1479  0.1331
  0.1160  0.0963  0.0741  0.0497  0.0230 -0.0067 -0.0399 -0.0792 -0.1259 -0.1754
  0.1935  0.1672  0.1433  0.1216  0.1039  0.0920  0.0863  0.0859  0.0897  0.0963
  0.1048  0.1144  0.1243  0.1338  0.1429  0.1647  0.1742  0.1664  0.1485  0.1276
  0.1061  0.0839  0.0605  0.0358  0.0097 -0.0181 -0.0477 -0.0815 -0.1220 -0.1699
 -0.2213
  0.3447  0.3126  0.2801  0.2474  0.2168  0.1899  0.1684  0.1532  0.1441  0.1401
  0.1403  0.1433  0.1483  0.1544  0.1613  0.1770  0.1849  0.1779  0.1576  0.1311
  0.1035  0.0766  0.0501  0.0234 -0.0036 -0.0312 -0.0603 -0.0908 -0.1252 -0.1661
 -0.2152
  0.4730  0.4370  0.3995  0.3607  0.3223  0.2858  0.2528  0.2249  0.2032  0.1881
  0.1789  0.1744  0.1734  0.1749  0.1784  0.1899  0.1958  0.1903  0.1711  0.1422
  0.1093  0.0762  0.0445  0.0140 -0.0155 -0.0447 -0.0740 -0.1043 -0.1362 -0.1722
 -0.2124
  0.5767  0.5397  0.5010  0.4608  0.4191  0.3775  0.3376  0.3007  0.2685  0.2426
  0.2234  0.2101  0.2018  0.1976  0.1967  0.2019  0.2067  0.2019  0.1851  0.1576
  0.1228  0.0849  0.0473  0.0115 -0.0224 -0.0547 -0.0861 -0.1172 -0.1487 -0.1815
 -0.2165
  0.6531  0.6207  0.5846  0.5453  0.5033  0.4605  0.4174  0.3756  0.3368  0.3032
  0.2753  0.2529  0.2360  0.2243  0.2176  0.2143  0.2166  0.2126  0.1977  0.1723
  0.1387  0.0995  0.0578  0.0165 -0.0228 -0.0597 -0.0948 -0.1285 -0.1614 -0.1942
 -0.2281
  0.7023  0.6799  0.6503  0.6142  0.5749  0.5348  0.4894  0.4458  0.4038  0.3656
  0.3315  0.3011  0.2742  0.2550  0.2411  0.2271  0.2255  0.2224  0.2089
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  i   
 -0.5791 -0.4595 -0.3899 -0.3737 -0.4172 -0.6674 -0.5447 -0.4166 -0.3167 -0.2399
 -0.1312 -0.0288 -0.0078 -0.0294 -0.0188  0.1301
 -0.5876 -0.4690 -0.3874 -0.3459 -0.3491 -0.4713 -0.4160 -0.3514 -0.2920 -0.2377
 -0.1688 -0.1004 -0.0610 -0.0379 -0.0026  0.1264  0.2006  0.2336  0.2413
 -0.5731 -0.4606 -0.3742 -0.3164 -0.2904 -0.3220 -0.3057 -0.2816 -0.2509 -0.2150
 -0.1748 -0.1314 -0.0856 -0.0380  0.0107  0.1226  0.1849  0.2118  0.2171  0.2084
  0.1907
 -0.5356 -0.4343 -0.3503 -0.2852 -0.2411 -0.2195 -0.2138 -0.2072 -0.1932 -0.1717
 -0.1493 -0.1218 -0.0815 -0.0298  0.0211  0.1187  0.1718  0.1931  0.1960  0.1876
  0.1716  0.1496  0.1233
 -0.4751 -0.3901 -0.3157 -0.2523 -0.2012 -0.1638 -0.1403 -0.1282 -0.1190 -0.1079
 -0.0922 -0.0715 -0.0487 -0.0132  0.0286  0.1147  0.1613  0.1775  0.1779  0.1691
  0.1540  0.1339  0.1096  0.0809  0.0473
 -0.3916 -0.3280 -0.2704 -0.2177 -0.1707 -0.1312 -0.1005 -0.0783 -0.0628 -0.0510
 -0.0379 -0.0212 -0.0057  0.0137  0.0418  0.1136  0.1556  0.1672  0.1637  0.1532
  0.1379  0.1186  0.0957  0.0695  0.0398  0.0062
 -0.2860 -0.2437 -0.2055 -0.1688 -0.1330 -0.0989 -0.0684 -0.0433 -0.0237 -0.0076
  0.0072  0.0224  0.0385  0.0503  0.0685  0.1193  0.1557  0.1643  0.1558  0.1414
  0.1242  0.1042  0.0816  0.0565  0.0289 -0.0015 -0.0355 -0.0756 -0.1227 -0.1724
 -0.1662 -0.1411 -0.1203 -0.1009 -0.0798 -0.0568 -0.0326 -0.0097  0.0102  0.0269
  0.0417  0.0564  0.0718  0.0843  0.0978  0.1347  0.1623  0.1687  0.1562  0.1363
  0.1148  0.0924  0.0685  0.0431  0.0162 -0.0125 -0.0438 -0.0782 -0.1187 -0.1669
 -0.2184
 -0.0524 -0.0327 -0.0206 -0.0153 -0.0089  0.0004  0.0139  0.0299  0.0462  0.0611
  0.0744  0.0868  0.0995  0.1122  0.1234  0.1536  0.1741  0.1788  0.1649  0.1397
  0.1155  0.0852  0.0583  0.0310  0.0032 -0.0252 -0.0551 -0.0888 -0.1265 -0.1678
 -0.2123
  0.0890  0.0828  0.0804  0.0814  0.0766  0.0735  0.0745  0.0800  0.0890  0.0994
  0.1096  0.1190  0.1282  0.1378  0.1466  0.1719  0.1886  0.1912  0.1772  0.1503
  0.1178  0.0847  0.0527  0.0217 -0.0085 -0.0384 -0.0686 -0.0995 -0.1322 -0.1679
 -0.2095
  0.2137  0.1981  0.1881  0.1832  0.1702  0.1585  0.1486  0.1428  0.1415  0.1441
