 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  r   
  2.1057  3.8894  4.9167  3.6610  0.4447 -4.0761 -3.2249 -1.5176 -0.4644 -0.3036
 -0.0983  0.0161 -0.3168 -0.7762 -0.9071 -0.4966
 -1.6580 -0.7379  0.0556 -0.1404 -1.1973 -3.1113 -2.6809 -1.8501 -1.2035 -0.9078
 -0.6638 -0.5299 -0.6184 -0.7773 -0.7959 -0.4539 -0.2391 -0.1144 -0.1271
 -3.0448 -2.6614 -2.1583 -1.8772 -1.8187 -2.1877 -2.0093 -1.7213 -1.4130 -1.1464
 -0.9431 -0.8172 -0.7658 -0.7398 -0.6821 -0.4101 -0.2306 -0.1206 -0.0787 -0.0474
  0.0268
 -2.0547 -1.8811 -1.7250 -1.5494 -1.4198 -1.3054 -1.2101 -1.1313 -1.0929 -1.0192
 -0.9362 -0.8457 -0.7591 -0.6637 -0.5657 -0.3652 -0.2203 -0.1254 -0.0636 -0.0239
  0.0030  0.0217  0.0357
 -1.7343 -1.6105 -1.4936 -1.3683 -1.2576 -1.1538 -1.0604 -0.9784 -0.9070 -0.8419
 -0.7764 -0.7065 -0.6361 -0.5643 -0.4909 -0.3284 -0.2120 -0.1339 -0.0807 -0.0438
 -0.0177  0.0010  0.0148  0.0237  0.0271
 -1.4320 -1.3487 -1.2659 -1.1807 -1.0937 -1.0076 -0.9251 -0.8488 -0.7796 -0.7171
 -0.6594 -0.6035 -0.5461 -0.4902 -0.4318 -0.2989 -0.2022 -0.1373 -0.0926 -0.0602
 -0.0364 -0.0189 -0.0059  0.0034  0.0093  0.0108
 -1.1478 -1.0957 -1.0419 -0.9866 -0.9281 -0.8668 -0.8042 -0.7425 -0.6836 -0.6282
 -0.5765 -0.5279 -0.4809 -0.4356 -0.3884 -0.2767 -0.1909 -0.1356 -0.0993 -0.0731
 -0.0531 -0.0380 -0.0265 -0.0179 -0.0118 -0.0085 -0.0085 -0.0164 -0.0345 -0.0578
 -0.8816 -0.8515 -0.8216 -0.7919 -0.7601 -0.7246 -0.6854 -0.6435 -0.6000 -0.5563
 -0.5134 -0.4718 -0.4316 -0.3927 -0.3543 -0.2592 -0.1812 -0.1291 -0.0985 -0.0793
 -0.0651 -0.0540 -0.0455 -0.0390 -0.0340 -0.0307 -0.0286 -0.0313 -0.0427 -0.0642
 -0.0918
 -0.6458 -0.6300 -0.6169 -0.6063 -0.5953 -0.5821 -0.5653 -0.5440 -0.5184 -0.4894
 -0.4578 -0.4250 -0.3917 -0.3586 -0.3254 -0.2439 -0.1723 -0.1213 -0.0917 -0.0770
 -0.0694 -0.0644 -0.0605 -0.0576 -0.0554 -0.0539 -0.0537 -0.0543 -0.0594 -0.0730
 -0.0977
 -0.4379 -0.4353 -0.4357 -0.4388 -0.4425 -0.4456 -0.4464 -0.4432 -0.4349 -0.4211
 -0.4024 -0.3798 -0.3545 -0.3275 -0.2994 -0.2280 -0.1625 -0.1125 -0.0821 -0.0683
 -0.0651 -0.0666 -0.0692 -0.0716 -0.0737 -0.0756 -0.0776 -0.0803 -0.0846 -0.0935
 -0.1074
 -0.2590 -0.2681 -0.2787 -0.2906 -0.3040 -0.3178 -0.3306 -0.3412 -0.3478 -0.3486
 -0.3430 -0.3319 -0.3162 -0.2968 -0.2745 -0.2128 -0.1529 -0.1044 -0.0729 -0.0573
 -0.0547 -0.0603 -0.0691 -0.0781 -0.0862 -0.0930 -0.0990 -0.1046 -0.1104 -0.1176
 -0.1258
 -0.1181 -0.1284 -0.1430 -0.1615 -0.1817 -0.2020 -0.2227 -0.2422 -0.2592 -0.2710
 -0.2770 -0.2775 -0.2727 -0.2626 -0.2477 -0.1976 -0.1430 -0.0963 -0.0640 -0.0469
 -0.0429 -0.0489 -0.0613 -0.0762 -0.0907 -0.1038 -0.1153 -0.1255 -0.1347 -0.1438
 -0.1540
 -0.0155 -0.0162 -0.0286 -0.0515 -0.0756 -0.0982 -0.1246 -0.1496 -0.1728 -0.1919
 -0.2068 -0.2176 -0.2248 -0.2249 -0.2190 -0.1825 -0.1328 -0.0882 -0.0554
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  r   
 -2.4971 -2.1298 -1.8956 -1.7791 -1.7584 -2.0774 -1.8361 -1.6221 -1.4608 -1.3324
 -1.1563 -0.9780 -0.8945 -0.8642 -0.7979 -0.4863
 -2.3739 -2.0195 -1.7748 -1.6260 -1.5568 -1.6839 -1.5449 -1.4117 -1.2959 -1.1909
 -1.0671 -0.9416 -0.8502 -0.7789 -0.6936 -0.4307 -0.2396 -0.1152 -0.0363
 -2.2452 -1.9101 -1.6641 -1.4947 -1.3900 -1.3827 -1.3052 -1.2250 -1.1425 -1.0577
 -0.9710 -0.8824 -0.7922 -0.7004 -0.6073 -0.3850 -0.2244 -0.1175 -0.0481 -0.0032
  0.0265
 -2.1110 -1.8016 -1.5635 -1.3852 -1.2580 -1.1738 -1.1170 -1.0621 -1.0006 -0.9329
 -0.8680 -0.8005 -0.7205 -0.6289 -0.5390 -0.3492 -0.2128 -0.1211 -0.0603 -0.0195
  0.0084  0.0274  0.0410
