 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  u   
 -9.2020 -6.7904 -4.5158 -4.6825 -8.1362-14.1344-12.2125 -7.9111 -4.6387 -3.7729
 -3.3927 -3.3344 -4.4739 -5.3826 -5.7166 -4.4141
-10.1316 -8.6603 -7.2036 -6.9082 -8.1375-10.8600-10.1025 -8.3103 -6.7399 -6.0004
 -5.5223 -5.3054 -5.6175 -5.8240 -5.6831 -4.3400 -3.5602 -3.0152 -2.9481
-10.2115 -9.3812 -8.5295 -8.0242 -7.9732 -8.5837 -8.3744 -7.9413 -7.4155 -6.8998
 -6.4746 -6.1868 -6.0109 -5.7877 -5.4184 -4.1461 -3.2479 -2.7402 -2.4724 -2.2375
 -1.8233
 -9.4417 -8.9530 -8.4935 -8.0305 -7.6432 -7.3056 -7.0282 -6.8040 -6.6656 -6.4712
 -6.2495 -5.9786 -5.6540 -5.2735 -4.9225 -3.8324 -3.0458 -2.5015 -2.1277 -1.8655
 -1.6871 -1.5651 -1.4794
 -9.0349 -8.5889 -8.1591 -7.7301 -7.3304 -6.9585 -6.6250 -6.3353 -6.0849 -5.8601
 -5.6381 -5.3948 -5.1191 -4.8048 -4.4674 -3.5843 -2.8410 -2.3226 -1.9803 -1.7525
 -1.5986 -1.4941 -1.4229 -1.3731 -1.3356
 -8.6342 -8.2224 -7.8195 -7.4209 -7.0270 -6.6448 -6.2827 -5.9523 -5.6579 -5.3949
 -5.1518 -4.9131 -4.6604 -4.3880 -4.0954 -3.3618 -2.6864 -2.1936 -1.8690 -1.6600
 -1.5220 -1.4297 -1.3685 -1.3284 -1.3012 -1.2810
 -8.2396 -7.8535 -7.4747 -7.1029 -6.7331 -6.3645 -6.0013 -5.6550 -5.3357 -5.0474
 -4.7868 -4.5434 -4.3057 -4.0631 -3.8065 -3.1649 -2.5820 -2.1145 -1.7938 -1.5880
 -1.4573 -1.3719 -1.3163 -1.2814 -1.2606 -1.2483 -1.2395 -1.2318 -1.2234 -1.2110
 -7.8510 -7.4822 -7.1247 -6.7778 -6.4353 -6.0932 -5.7496 -5.4108 -5.0863 -4.7864
 -4.5148 -4.2673 -4.0376 -3.8157 -3.5913 -3.0246 -2.5073 -2.0774 -1.7562 -1.5407
 -1.4045 -1.3195 -1.2658 -1.2331 -1.2152 -1.2072 -1.2042 -1.2038 -1.2044 -1.2042
 -1.2001
 -7.4777 -7.1287 -6.7902 -6.4614 -6.1419 -5.8275 -5.5133 -5.1984 -4.8876 -4.5912
 -4.3164 -4.0668 -3.8402 -3.6305 -3.4286 -2.9304 -2.4625 -2.0647 -1.7499 -1.5209
 -1.3686 -1.2739 -1.2169 -1.1836 -1.1662 -1.1599 -1.1611 -1.1654 -1.1713 -1.1779
 -1.1847
 -7.1534 -6.8075 -6.4793 -6.1674 -5.8658 -5.5741 -5.2874 -5.0023 -4.7178 -4.4379
 -4.1711 -3.9243 -3.6989 -3.4936 -3.3030 -2.8591 -2.4341 -2.0624 -1.7585 -1.5219
 -1.3514 -1.2394 -1.1715 -1.1332 -1.1140 -1.1077 -1.1104 -1.1186 -1.1293 -1.1404
 -1.1514
 -6.8579 -6.5283 -6.2122 -5.9086 -5.6208 -5.3449 -5.0795 -4.8210 -4.5660 -4.3124
 -4.0663 -3.8316 -3.6105 -3.4052 -3.2163 -2.7976 -2.4217 -2.0711 -1.7771 -1.5393
 -1.3557 -1.2241 -1.1383 -1.0878 -1.0618 -1.0519 -1.0533 -1.0621 -1.0754 -1.0906
 -1.1059
