 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -4.4123 -2.3891 -0.6012 -0.9721 -3.9298 -9.1981 -7.1619 -4.0886 -2.3897 -2.4202
 -2.3074 -2.1920 -2.7367 -3.2988 -3.3771 -2.4518
 -6.1008 -5.0013 -3.8937 -3.7587 -4.7746 -7.1623 -6.3193 -4.9565 -3.9876 -3.6474
 -3.3449 -3.1542 -3.2712 -3.3930 -3.2728 -2.4017 -1.8310 -1.4687 -1.3364
 -6.5849 -6.0554 -5.4452 -5.0772 -5.0182 -5.5702 -5.3398 -4.9467 -4.5092 -4.1062
 -3.7810 -3.5602 -3.4229 -3.2769 -3.0536 -2.2835 -1.7064 -1.3649 -1.1584 -0.9756
 -0.7036
 -5.8646 -5.5514 -5.2557 -4.9276 -4.6607 -4.4219 -4.2234 -4.0589 -3.9542 -3.7964
 -3.6157 -3.4100 -3.1918 -2.9505 -2.7195 -2.0972 -1.6336 -1.2944 -1.0422 -0.8483
 -0.6907 -0.5572 -0.4409
 -5.4531 -5.1964 -4.9421 -4.6690 -4.4099 -4.1612 -3.9341 -3.7337 -3.5577 -3.3960
 -3.2331 -3.0574 -2.8702 -2.6732 -2.4714 -1.9687 -1.5506 -1.2460 -1.0218 -0.8478
 -0.7049 -0.5820 -0.4731 -0.3746 -0.2839
 -5.0437 -4.8339 -4.6177 -4.3909 -4.1541 -3.9149 -3.6822 -3.4666 -3.2729 -3.0990
 -2.9381 -2.7806 -2.6174 -2.4494 -2.2764 -1.8608 -1.4897 -1.2124 -1.0093 -0.8516
 -0.7215 -0.6086 -0.5073 -0.4147 -0.3293 -0.2499
 -4.6363 -4.4639 -4.2825 -4.0933 -3.8933 -3.6830 -3.4677 -3.2576 -3.0615 -2.8833
 -2.7221 -2.5726 -2.4282 -2.2834 -2.1345 -1.7735 -1.4509 -1.1936 -1.0047 -0.8597
 -0.7405 -0.6370 -0.5436 -0.4573 -0.3768 -0.3017 -0.2326 -0.1670 -0.1076 -0.0703
 -4.2311 -4.0864 -3.9365 -3.7821 -3.6200 -3.4477 -3.2653 -3.0784 -2.8948 -2.7225
 -2.5647 -2.4204 -2.2869 -2.1586 -2.0310 -1.7142 -1.4270 -1.1876 -1.0058 -0.8685
 -0.7583 -0.6636 -0.5783 -0.4992 -0.4247 -0.3544 -0.2886 -0.2276 -0.1718 -0.1244
 -0.0965
 -3.8426 -3.7217 -3.5984 -3.4730 -3.3435 -3.2077 -3.0632 -2.9098 -2.7512 -2.5950
 -2.4464 -2.3090 -2.1826 -2.0647 -1.9512 -1.6738 -1.4135 -1.1902 -1.0125 -0.8774
 -0.7724 -0.6853 -0.6081 -0.5370 -0.4697 -0.4055 -0.3446 -0.2865 -0.2335 -0.1882
 -0.1523
 -3.4849 -3.3823 -3.2807 -3.1801 -3.0775 -2.9718 -2.8604 -2.7414 -2.6142 -2.4814
 -2.3489 -2.2220 -2.1027 -1.9917 -1.8871 -1.6399 -1.4024 -1.1932 -1.0212 -0.8858
 -0.7818 -0.6995 -0.6299 -0.5670 -0.5079 -0.4511 -0.3967 -0.3447 -0.2959 -0.2522
 -0.2137
 -3.1568 -3.0758 -2.9941 -2.9119 -2.8306 -2.7480 -2.6627 -2.5728 -2.4762 -2.3714
