 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  U   
 -8.2507 -5.8669 -3.6301 -3.7707 -7.1371-13.0407-11.0987 -6.8525 -3.6606 -2.8647
 -2.5386 -2.4869 -3.5716 -4.4384 -4.7377 -3.4543
 -9.1185 -7.6674 -6.2387 -5.9384 -7.1324 -9.8145 -9.0492 -7.2785 -5.7414 -5.0346
 -4.5826 -4.3727 -4.6651 -4.8561 -4.7071 -3.3900 -2.6206 -2.0847 -2.0088
 -9.1696 -8.3525 -7.5181 -7.0185 -6.9631 -7.5666 -7.3577 -6.9289 -6.4102 -5.9046
 -5.4882 -5.2065 -5.0315 -4.8098 -4.4470 -3.2052 -2.3268 -1.8263 -1.5566 -1.3164
 -0.9014
 -8.4040 -7.9222 -7.4683 -7.0110 -6.6291 -6.2969 -6.0242 -5.8037 -5.6670 -5.4749
 -5.2555 -4.9882 -4.6709 -4.2996 -3.9574 -2.8999 -2.1345 -1.5996 -1.2273 -0.9618
 -0.7747 -0.6408 -0.5401
 -8.0037 -7.5657 -7.1425 -6.7195 -6.3253 -5.9588 -5.6304 -5.3455 -5.0995 -4.8785
 -4.6602 -4.4211 -4.1510 -3.8453 -3.5183 -2.6636 -1.9429 -1.4365 -1.0970 -0.8658
 -0.7040 -0.5882 -0.5031 -0.4378 -0.3838
 -7.6104 -7.2077 -6.8124 -6.4203 -6.0323 -5.6555 -5.2988 -4.9738 -4.6848 -4.4270
 -4.1891 -3.9558 -3.7093 -3.4442 -3.1608 -2.4520 -1.7985 -1.3192 -0.9992 -0.7879
 -0.6432 -0.5408 -0.4671 -0.4125 -0.3698 -0.3338
 -7.2241 -6.8482 -6.4780 -6.1134 -5.7500 -5.3870 -5.0294 -4.6886 -4.3750 -4.0926
 -3.8378 -3.6005 -3.3692 -3.1335 -2.8849 -2.2651 -1.7013 -1.2477 -0.9339 -0.7281
 -0.5923 -0.4986 -0.4322 -0.3847 -0.3499 -0.3228 -0.2994 -0.2774 -0.2555 -0.2339
 -6.8449 -6.4872 -6.1393 -5.8006 -5.4651 -5.1291 -4.7911 -4.4578 -4.1388 -3.8446
 -3.5788 -3.3372 -3.1136 -2.8979 -2.6803 -2.1325 -1.6321 -1.2150 -0.9021 -0.6894
 -0.5508 -0.4597 -0.3974 -0.3542 -0.3242 -0.3032 -0.2868 -0.2732 -0.2614 -0.2504
 -0.2388
 -6.4823 -6.1453 -5.8173 -5.4977 -5.1858 -4.8780 -4.5696 -4.2598 -3.9540 -3.6626
 -3.3929 -3.1486 -2.9272 -2.7228 -2.5264 -2.0438 -1.5909 -1.2049 -0.8986 -0.6745
 -0.5230 -0.4252 -0.3620 -0.3206 -0.2934 -0.2762 -0.2657 -0.2581 -0.2526 -0.2490
 -0.2473
 -6.1699 -5.8371 -5.5203 -5.2182 -4.9249 -4.6401 -4.3591 -4.0789 -3.7987 -3.5226
 -3.2597 -3.0169 -2.7957 -2.5948 -2.4087 -1.9768 -1.5646 -1.2038 -0.9083 -0.6777
 -0.5105 -0.3984 -0.3274 -0.2835 -0.2571 -0.2422 -0.2353 -0.2334 -0.2339 -0.2355
 -0.2380
 -5.8884 -5.5723 -5.2679 -4.9744 -4.6952 -4.4263 -4.1666 -3.9126 -3.6611 -3.4103
 -3.1668 -2.9346 -2.7163 -2.5139 -2.3283 -1.9192 -1.5536 -1.2129 -0.9270 -0.6957
 -0.5167 -0.3875 -0.3016 -0.2486 -0.2181 -0.2022 -0.1964 -0.1972 -0.2021 -0.2089
 -0.2159
 -5.6752 -5.3509 -5.0477 -4.7637 -4.4936 -4.2359 -3.9909 -3.7556 -3.5269 -3.2993
 -3.0753 -2.8586 -2.6526 -2.4600 -2.2823 -1.8893 -1.5423 -1.2230 -0.9448 -0.7153
 -0.5316 -0.3902 -0.2884 -0.2212 -0.1810 -0.1600 -0.1521 -0.1530 -0.1598 -0.1702
 -0.1823
 -5.5302 -5.1730 -4.8597 -4.5861 -4.3201 -4.0689 -3.8252 -3.6039 -3.3918 -3.1860
 -2.9856 -2.7903 -2.5998 -2.4331 -2.2707 -1.8871 -1.5307 -1.2341 -0.9617
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  U   
 -8.2487 -7.9578 -7.7698 -7.7246 -7.8602 -8.4044 -7.9960 -7.4568 -6.9711 -6.5979
 -6.2159 -5.8682 -5.7261 -5.5685 -5.2581 -4.1235
 -8.0370 -7.6784 -7.3998 -7.2263 -7.1833 -7.3882 -7.1460 -6.8297 -6.5114 -6.2165
 -5.9026 -5.5876 -5.3355 -5.0654 -4.7222 -3.6897 -2.7858 -2.1065 -1.6142
 -7.8483 -7.4372 -7.0874 -6.8126 -6.6283 -6.5776 -6.4153 -6.2273 -6.0143 -5.7766
 -5.5147 -5.2290 -4.9201 -4.5885 -4.2349 -3.3036 -2.4766 -1.8587 -1.4235 -1.1150
 -0.8913
