 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -4.3368 -2.3246 -0.5379 -0.9074 -3.8729 -9.1330 -7.1178 -4.0447 -2.3654 -2.3902
 -2.2906 -2.1725 -2.7110 -3.2666 -3.3428 -2.4273
 -6.0568 -4.9615 -3.8510 -3.7147 -4.7309 -7.1151 -6.2783 -4.9148 -3.9533 -3.6127
 -3.3157 -3.1253 -3.2402 -3.3605 -3.2414 -2.3793 -1.8157 -1.4532 -1.3233
 -6.5508 -6.0227 -5.4097 -5.0415 -4.9809 -5.5326 -5.3018 -4.9080 -4.4717 -4.0704
 -3.7466 -3.5273 -3.3906 -3.2460 -3.0250 -2.2630 -1.6918 -1.3531 -1.1484 -0.9680
 -0.6988
 -5.8188 -5.5082 -5.2140 -4.8878 -4.6228 -4.3855 -4.1883 -4.0245 -3.9204 -3.7632
 -3.5832 -3.3787 -3.1621 -2.9230 -2.6936 -2.0784 -1.6200 -1.2842 -1.0349 -0.8430
 -0.6874 -0.5552 -0.4400
 -5.4074 -5.1530 -4.9005 -4.6295 -4.3725 -4.1257 -3.9003 -3.7013 -3.5265 -3.3658
 -3.2038 -3.0292 -2.8435 -2.6482 -2.4483 -1.9511 -1.5379 -1.2368 -1.0151 -0.8430
 -0.7017 -0.5801 -0.4723 -0.3749 -0.2852
 -4.9982 -4.7905 -4.5763 -4.3517 -4.1171 -3.8801 -3.6494 -3.4357 -3.2436 -3.0710
 -2.9114 -2.7552 -2.5933 -2.4269 -2.2556 -1.8444 -1.4777 -1.2038 -1.0030 -0.8471
 -0.7184 -0.6067 -0.5065 -0.4148 -0.3302 -0.2516
 -4.5912 -4.4207 -4.2414 -4.0544 -3.8567 -3.6487 -3.4356 -3.2277 -3.0335 -2.8570
 -2.6973 -2.5492 -2.4062 -2.2629 -2.1155 -1.7583 -1.4394 -1.1852 -0.9986 -0.8553
 -0.7375 -0.6350 -0.5426 -0.4572 -0.3775 -0.3031 -0.2346 -0.1698 -0.1113 -0.0747
 -4.1863 -4.0436 -3.8958 -3.7436 -3.5837 -3.4137 -3.2337 -3.0491 -2.8678 -2.6974
 -2.5414 -2.3986 -2.2664 -2.1395 -2.0133 -1.6999 -1.4159 -1.1793 -0.9996 -0.8641
 -0.7551 -0.6615 -0.5771 -0.4988 -0.4251 -0.3554 -0.2901 -0.2298 -0.1747 -0.1280
 -0.1007
 -3.7982 -3.6794 -3.5581 -3.4348 -3.3076 -3.1741 -3.0319 -2.8808 -2.7246 -2.5705
 -2.4239 -2.2881 -2.1631 -2.0466 -1.9344 -1.6601 -1.4026 -1.1818 -1.0061 -0.8727
 -0.7691 -0.6830 -0.6067 -0.5364 -0.4697 -0.4061 -0.3459 -0.2884 -0.2358 -0.1910
 -0.1556
 -3.4409 -3.3403 -3.2408 -3.1424 -3.0419 -2.9385 -2.8294 -2.7127 -2.5878 -2.4571
 -2.3268 -2.2017 -2.0840 -1.9743 -1.8709 -1.6265 -1.3916 -1.1846 -1.0146 -0.8809
 -0.7782 -0.6970 -0.6282 -0.5661 -0.5076 -0.4514 -0.3975 -0.3460 -0.2976 -0.2543
 -0.2163
 -3.1130 -3.0340 -2.9544 -2.8744 -2.7954 -2.7149 -2.6318 -2.5441 -2.4498 -2.3471
 -2.2396 -2.1307 -2.0234 -1.9198 -1.8216 -1.5948 -1.3849 -1.1890 -1.0248 -0.8918
 -0.7877 -0.7072 -0.6430 -0.5882 -0.5382 -0.4904 -0.4443 -0.3997 -0.3569 -0.3166
 -0.2792
 -2.8246 -2.7605 -2.6964 -2.6325 -2.5699 -2.5066 -2.4431 -2.3771 -2.3067 -2.2278
