 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  I   
 -0.8208  0.0859  1.2425  1.6392  0.8213 -1.0573 -0.2790  0.9638  1.6924  1.7098
  1.7653  1.7197  1.3013  0.7947  0.5191  0.6196
 -0.6716 -0.2784  0.2976  0.5597  0.3307 -0.4754 -0.1195  0.4443  0.8460  0.9772
  1.0751  1.0815  0.9111  0.6905  0.5707  0.6447  0.6847  0.7028  0.6422
 -0.3395 -0.2335 -0.0292  0.1227  0.1796  0.0112  0.1165  0.2725  0.4299  0.5608
  0.6473  0.6776  0.6546  0.6129  0.5946  0.6495  0.6653  0.6748  0.6508  0.6224
  0.6163
  0.1755  0.2206  0.2621  0.3282  0.3679  0.4026  0.4290  0.4484  0.4441  0.4605
  0.4821  0.5081  0.5319  0.5617  0.5908  0.6340  0.6583  0.6596  0.6460  0.6225
  0.5939  0.5608  0.5247
  0.3791  0.3896  0.4020  0.4273  0.4484  0.4707  0.4915  0.5093  0.5232  0.5344
  0.5460  0.5601  0.5745  0.5908  0.6090  0.6384  0.6457  0.6394  0.6239  0.6018
  0.5748  0.5439  0.5100  0.4726  0.4312
  0.5656  0.5497  0.5387  0.5340  0.5359  0.5431  0.5537  0.5652  0.5762  0.5859
  0.5941  0.6015  0.6098  0.6173  0.6271  0.6449  0.6416  0.6279  0.6085  0.5853
  0.5584  0.5284  0.4957  0.4602  0.4220  0.3802
  0.7349  0.7009  0.6722  0.6483  0.6305  0.6198  0.6156  0.6161  0.6193  0.6239
  0.6289  0.6335  0.6377  0.6407  0.6451  0.6535  0.6460  0.6251  0.5998  0.5730
  0.5447  0.5143  0.4819  0.4475  0.4111  0.3721  0.3299  0.2825  0.2291  0.1735
  0.8871  0.8432  0.8025  0.7647  0.7311  0.7036  0.6833  0.6701  0.6626  0.6592
  0.6583  0.6589  0.6602  0.6615  0.6624  0.6641  0.6552  0.6314  0.6002  0.5676
  0.5354  0.5029  0.4696  0.4351  0.3994  0.3620  0.3228  0.2800  0.2315  0.1769
  0.1195
  1.0149  0.9686  0.9224  0.8764  0.8325  0.7924  0.7579  0.7306  0.7108  0.6973
  0.6889  0.6837  0.6807  0.6790  0.6783  0.6755  0.6658  0.6430  0.6091  0.5711
  0.5331  0.4963  0.4604  0.4244  0.3881  0.3510  0.3125  0.2726  0.2292  0.1803
  0.1245
  1.1206  1.0739  1.0257  0.9762  0.9271  0.8795  0.8353  0.7965  0.7647  0.7405
  0.7231  0.7110  0.7026  0.6969  0.6933  0.6874  0.6765  0.6556  0.6227  0.5820
  0.5387  0.4962  0.4555  0.4162  0.3778  0.3398  0.3014  0.2620  0.2209  0.1761
  0.1276
  1.2016  1.1579  1.1118  1.0636  1.0135  0.9629  0.9136  0.8672  0.8255  0.7910
  0.7640  0.7435  0.7283  0.7174  0.7098  0.6985  0.6873  0.6674  0.6371  0.5976
  0.5522  0.5050  0.4587  0.4146  0.3725  0.3319  0.2921  0.2524  0.2122  0.1706
  0.1262
  1.2577  1.2206  1.1797  1.1355  1.0876  1.0379  0.9871  0.9371  0.8898  0.8483
  0.8129  0.7836  0.7600  0.7418  0.7287  0.7097  0.6968  0.6781  0.6499  0.6125
  0.5682  0.5195  0.4693  0.4201  0.3731  0.3285  0.2856  0.2441  0.2032  0.1621
  0.1199
  1.2890  1.2620  1.2294  1.1919  1.1494  1.1045  1.0527  1.0024  0.9530  0.9075
  0.8662  0.8289  0.7953  0.7701  0.7499  0.7212  0.7050  0.6877  0.6611
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  I   
  0.3146  0.3829  0.4148  0.4094  0.3500  0.1156  0.1940  0.2897  0.3673  0.4273
