 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
  0.1025  2.0058  3.4536  2.9440  0.4927 -3.2050 -2.4098 -0.8451  0.1272  0.2791
  0.4373  0.4988  0.1403 -0.3392 -0.5060 -0.1780
 -1.0532 -0.3001  0.3888  0.2793 -0.6216 -2.2579 -1.9105 -1.1901 -0.6257 -0.3723
 -0.1728 -0.0768 -0.1874 -0.3663 -0.4117 -0.1411  0.0311  0.1266  0.1071
 -1.5562 -1.3924 -1.1451 -1.0380 -1.0882 -1.4626 -1.3554 -1.1364 -0.8873 -0.6657
 -0.4973 -0.3979 -0.3660 -0.3594 -0.3228 -0.1084  0.0303  0.1163  0.1444  0.1635
  0.2189
 -1.4065 -1.2711 -1.1481 -1.0079 -0.9071 -0.8190 -0.7445 -0.6838 -0.6578 -0.6012
 -0.5363 -0.4644 -0.3956 -0.3185 -0.2393 -0.0799  0.0356  0.1086  0.1539  0.1800
  0.1949  0.2035  0.2075
 -1.1335 -1.0425 -0.9547 -0.8581 -0.7731 -0.6936 -0.6220 -0.5592 -0.5046 -0.4551
 -0.4049 -0.3506 -0.2955 -0.2387 -0.1799 -0.0514  0.0385  0.0971  0.1352  0.1596
  0.1747  0.1835  0.1879  0.1876  0.1823
 -0.8766 -0.8211 -0.7634 -0.7015 -0.6366 -0.5718 -0.5098 -0.4522 -0.3997 -0.3520
 -0.3079 -0.2651 -0.2209 -0.1778 -0.1319 -0.0278  0.0448  0.0917  0.1223  0.1430
  0.1565  0.1645  0.1685  0.1692  0.1667  0.1601
 -0.6358 -0.6069 -0.5742 -0.5381 -0.4976 -0.4536 -0.4079 -0.3628 -0.3193 -0.2778
 -0.2388 -0.2018 -0.1661 -0.1317 -0.0953 -0.0091  0.0545  0.0924  0.1152  0.1302
  0.1403  0.1465  0.1494  0.1498  0.1480  0.1435  0.1357  0.1206  0.0960  0.0669
 -0.4110 -0.3999 -0.3871 -0.3728 -0.3551 -0.3330 -0.3068 -0.2781 -0.2477 -0.2165
 -0.1852 -0.1543 -0.1241 -0.0947 -0.0656  0.0067  0.0642  0.0990  0.1159  0.1243
  0.1289  0.1314  0.1318  0.1305  0.1279  0.1238  0.1185  0.1087  0.0907  0.0633
  0.0304
 -0.2125 -0.2119 -0.2123 -0.2137 -0.2137 -0.2106 -0.2035 -0.1920 -0.1765 -0.1580
 -0.1367 -0.1136 -0.0895 -0.0650 -0.0401  0.0210  0.0736  0.1079  0.1235  0.1269
  0.1252  0.1219  0.1180  0.1135  0.1086  0.1031  0.0965  0.0890  0.0772  0.0575
  0.0274
 -0.0379 -0.0467 -0.0573 -0.0695 -0.0815 -0.0923 -0.1001 -0.1040 -0.1032 -0.0974
 -0.0872 -0.0732 -0.0563 -0.0374 -0.0170  0.0361  0.0838  0.1178  0.1342  0.1364
  0.1299  0.1202  0.1102  0.1007  0.0919  0.0835  0.0750  0.0660  0.0554  0.0404
  0.0207
  0.1110  0.0945  0.0770  0.0586  0.0391  0.0197  0.0016 -0.0140 -0.0259 -0.0324
 -0.0334 -0.0294 -0.0212 -0.0093  0.0057  0.0502  0.0938  0.1269  0.1449  0.1487
  0.1412  0.1272  0.1110  0.0953  0.0809  0.0679  0.0559  0.0444  0.0327  0.0198
  0.0057
  0.2280  0.2117  0.1922  0.1697  0.1455  0.1214  0.0970  0.0739  0.0533  0.0372
  0.0260  0.0198  0.0185  0.0223  0.0307  0.0647  0.1037  0.1358  0.1549  0.1603
  0.1543  0.1396  0.1196  0.0981  0.0775  0.0586  0.0415  0.0259  0.0112 -0.0032
 -0.0186
  0.3131  0.3050  0.2883  0.2638  0.2377  0.2128  0.1837  0.1564  0.1306  0.1083
  0.0898  0.0748  0.0630  0.0574  0.0581  0.0796  0.1135  0.1445  0.1642
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  R   
 -1.6186 -1.3759 -1.2212 -1.1557 -1.1708 -1.4533 -1.2548 -1.0730 -0.9355 -0.8280
 -0.6794 -0.5308 -0.4710 -0.4599 -0.4132 -0.1581
