 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = UX   
 -8.2260 -5.8530 -3.6140 -3.7745 -7.1555-13.0593-11.1218 -6.8776 -3.6820 -2.8584
 -2.5221 -2.4726 -3.5724 -4.4490 -4.7589 -3.4580
 -9.1157 -7.6681 -6.2355 -5.9443 -7.1457 -9.8270 -9.0640 -7.2942 -5.7547 -5.0363
 -4.5792 -4.3695 -4.6674 -4.8634 -4.7183 -3.3938 -2.6197 -2.0856 -2.0068
 -9.1782 -8.3611 -7.5235 -7.0263 -6.9733 -7.5758 -7.3676 -6.9390 -6.4192 -5.9114
 -5.4933 -5.2110 -5.0364 -4.8161 -4.4535 -3.2089 -2.3259 -1.8249 -1.5552 -1.3158
 -0.9035
 -8.4135 -7.9320 -7.4780 -7.0205 -6.6384 -6.3057 -6.0326 -5.8120 -5.6756 -5.4836
 -5.2643 -4.9972 -4.6794 -4.3072 -3.9645 -2.9033 -2.1345 -1.5977 -1.2240 -0.9584
 -0.7722 -0.6393 -0.5405
 -8.0139 -7.5759 -7.1525 -6.7292 -6.3345 -5.9675 -5.6388 -5.3536 -5.1074 -4.8863
 -4.6679 -4.4289 -4.1587 -3.8523 -3.5244 -2.6662 -1.9414 -1.4320 -1.0909 -0.8593
 -0.6980 -0.5832 -0.4995 -0.4358 -0.3835
 -7.6203 -7.2175 -6.8220 -6.4296 -6.0410 -5.6638 -5.3068 -4.9814 -4.6920 -4.4340
 -4.1958 -3.9622 -3.7155 -3.4498 -3.1656 -2.4535 -1.7958 -1.3129 -0.9909 -0.7788
 -0.6342 -0.5326 -0.4600 -0.4069 -0.3658 -0.3313
 -7.2327 -6.8568 -6.4865 -6.1217 -5.7580 -5.3946 -5.0366 -4.6954 -4.3814 -4.0986
 -3.8434 -3.6057 -3.3739 -3.1375 -2.8881 -2.2652 -1.6977 -1.2404 -0.9240 -0.7169
 -0.5808 -0.4875 -0.4220 -0.3757 -0.3422 -0.3164 -0.2943 -0.2733 -0.2520 -0.2310
 -6.8511 -6.4938 -6.1460 -5.8072 -5.4716 -5.1353 -4.7971 -4.4634 -4.1440 -3.8494
 -3.5831 -3.3410 -3.1168 -2.9004 -2.6819 -2.1313 -1.6275 -1.2071 -0.8915 -0.6769
 -0.5375 -0.4464 -0.3846 -0.3422 -0.3132 -0.2932 -0.2779 -0.2653 -0.2543 -0.2437
 -0.2323
