 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  V   
 -0.1123  1.6946  3.0011  2.1446 -0.8377 -5.5536 -4.2617 -2.1727 -1.0115 -0.9374
 -0.7657 -0.6536 -1.0606 -1.5466 -1.6071 -1.0173
 -3.1082 -2.1583 -1.2608 -1.3071 -2.2775 -4.3198 -3.7173 -2.7199 -1.9926 -1.6856
 -1.4229 -1.2751 -1.3798 -1.5293 -1.4901 -0.9745 -0.6442 -0.4574 -0.4317
 -4.1288 -3.7097 -3.1821 -2.8667 -2.7851 -3.2034 -2.9879 -2.6504 -2.2892 -1.9716
 -1.7263 -1.5721 -1.4979 -1.4387 -1.3320 -0.9080 -0.6117 -0.4356 -0.3487 -0.2760
 -0.1461
 -3.1741 -2.9596 -2.7628 -2.5342 -2.3605 -2.2045 -2.0735 -1.9643 -1.9012 -1.7953
 -1.6758 -1.5447 -1.4151 -1.2748 -1.1328 -0.8178 -0.5866 -0.4257 -0.3121 -0.2299
 -0.1659 -0.1131 -0.0667
 -2.8033 -2.6436 -2.4890 -2.3190 -2.1635 -2.0142 -1.8774 -1.7559 -1.6487 -1.5497
 -1.4498 -1.3436 -1.2350 -1.1242 -1.0125 -0.7550 -0.5592 -0.4214 -0.3220 -0.2467
 -0.1867 -0.1366 -0.0927 -0.0547 -0.0227
 -2.4494 -2.3343 -2.2169 -2.0934 -1.9639 -1.8326 -1.7040 -1.5836 -1.4741 -1.3747
 -1.2828 -1.1935 -1.1023 -1.0118 -0.9194 -0.7059 -0.5369 -0.4165 -0.3291 -0.2613
 -0.2062 -0.1595 -0.1185 -0.0817 -0.0486 -0.0202
 -2.1124 -2.0317 -1.9465 -1.8574 -1.7618 -1.6597 -1.5533 -1.4474 -1.3462 -1.2519
 -1.1650 -1.0841 -1.0066 -0.9309 -0.8535 -0.6705 -0.5197 -0.4110 -0.3334 -0.2737
 -0.2244 -0.1818 -0.1440 -0.1095 -0.0777 -0.0488 -0.0236 -0.0065 -0.0005 -0.0035
 -1.7924 -1.7358 -1.6778 -1.6186 -1.5553 -1.4853 -1.4081 -1.3258 -1.2414 -1.1587
 -1.0799 -1.0057 -0.9362 -0.8698 -0.8047 -0.6458 -0.5089 -0.4052 -0.3331 -0.2805
 -0.2380 -0.2010 -0.1676 -0.1367 -0.1075 -0.0800 -0.0537 -0.0325 -0.0205 -0.0199
 -0.0288
 -1.5035 -1.4638 -1.4258 -1.3895 -1.3517 -1.3100 -1.2619 -1.2063 -1.1441 -1.0783
 -1.0113 -0.9459 -0.8832 -0.8235 -0.7657 -0.6267 -0.5012 -0.4012 -0.3295 -0.2805
 -0.2443 -0.2140 -0.1866 -0.1608 -0.1358 -0.1114 -0.0884 -0.0661 -0.0485 -0.0404
 -0.0447
 -1.2462 -1.2215 -1.1997 -1.1805 -1.1614 -1.1408 -1.1160 -1.0849 -1.0459 -0.9993
 -0.9475 -0.8932 -0.8385 -0.7849 -0.7328 -0.6081 -0.4926 -0.3966 -0.3249 -0.2755
 -0.2426 -0.2186 -0.1982 -0.1788 -0.1595 -0.1399 -0.1204 -0.1016 -0.0845 -0.0723
 -0.0653
 -1.0216 -1.0107 -1.0015 -0.9938 -0.9878 -0.9817 -0.9736 -0.9615 -0.9431 -0.9163
 -0.8816 -0.8411 -0.7969 -0.7509 -0.7045 -0.5908 -0.4848 -0.3924 -0.3211 -0.2700
 -0.2366 -0.2157 -0.2013 -0.1890 -0.1767 -0.1634 -0.1493 -0.1347 -0.1203 -0.1072
 -0.0949
 -0.8426 -0.8314 -0.8268 -0.8282 -0.8317 -0.8351 -0.8384 -0.8394 -0.8362 -0.8249
 -0.8058 -0.7803 -0.7497 -0.7149 -0.6770 -0.5756 -0.4757 -0.3874 -0.3165 -0.2648
 -0.2298 -0.2085 -0.1969 -0.1904 -0.1851 -0.1790 -0.1717 -0.1630 -0.1533 -0.1434
 -0.1346
 -0.7092 -0.6835 -0.6756 -0.6837 -0.6931 -0.7010 -0.7118 -0.7216 -0.7284 -0.7294
 -0.7243 -0.7136 -0.6978 -0.6769 -0.6502 -0.5625 -0.4653 -0.3816 -0.3111
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  V   
 -3.4855 -3.1182 -2.8766 -2.7503 -2.7397 -3.1347 -2.8694 -2.6203 -2.4229 -2.2578
 -2.0350 -1.8138 -1.7057 -1.6425 -1.5285 -1.0761
 -3.3425 -2.9859 -2.7311 -2.5672 -2.4916 -2.6467 -2.4870 -2.3248 -2.1763 -2.0361
 -1.8716 -1.7059 -1.5803 -1.4714 -1.3426 -0.9626 -0.6674 -0.4595 -0.3143
 -3.1915 -2.8524 -2.5944 -2.4064 -2.2837 -2.2705 -2.1720 -2.0655 -1.9522 -1.8334
 -1.7101 -1.5832 -1.4535 -1.3217 -1.1884 -0.8679 -0.6183 -0.4383 -0.3108 -0.2181
 -0.1472
 -3.0325 -2.7177 -2.4665 -2.2679 -2.1159 -2.0061 -1.9244 -1.8424 -1.7506 -1.6497
 -1.5503 -1.4458 -1.3253 -1.1933 -1.0659 -0.7920 -0.5795 -0.4237 -0.3115 -0.2280
 -0.1627 -0.1092 -0.0626
 -2.8655 -2.5818 -2.3474 -2.1517 -1.9883 -1.8535 -1.7442 -1.6555 -1.5715 -1.4850
 -1.3923 -1.2937 -1.1957 -1.0862 -0.9751 -0.7349 -0.5510 -0.4157 -0.3164 -0.2408
 -0.1804 -0.1300 -0.0867 -0.0491 -0.0175
 -2.6905 -2.4447 -2.2371 -2.0578 -1.9009 -1.7635 -1.6438 -1.5402 -1.4493 -1.3657
 -1.2808 -1.1902 -1.1010 -1.0081 -0.9103 -0.6942 -0.5296 -0.4100 -0.3224 -0.2543
 -0.1989 -0.1520 -0.1111 -0.0747 -0.0422 -0.0141
 -2.5021 -2.2947 -2.1176 -1.9614 -1.8204 -1.6916 -1.5742 -1.4676 -1.3712 -1.2829
 -1.1988 -1.1157 -1.0317 -0.9517 -0.8657 -0.6674 -0.5140 -0.4040 -0.3259 -0.2658
 -0.2162 -0.1735 -0.1358 -0.1017 -0.0705 -0.0424 -0.0180 -0.0016  0.0038  0.0006
 -2.3104 -2.1355 -1.9867 -1.8549 -1.7336 -1.6197 -1.5118 -1.4103 -1.3152 -1.2267
 -1.1433 -1.0628 -0.9835 -0.9080 -0.8316 -0.6506 -0.5042 -0.3979 -0.3249 -0.2720
 -0.2292 -0.1921 -0.1589 -0.1284 -0.0998 -0.0731 -0.0491 -0.0282 -0.0158 -0.0157
 -0.0249
 -2.0114 -1.9418 -1.8504 -1.7394 -1.6371 -1.5400 -1.4455 -1.3538 -1.2656 -1.1809
 -1.1001 -1.0229 -0.9479 -0.8750 -0.8044 -0.6373 -0.4985 -0.3932 -0.3190 -0.2717
 -0.2322 -0.2049 -0.1776 -0.1521 -0.1277 -0.1041 -0.0818 -0.0643 -0.0519 -0.0442
 -0.0408
 -1.9186 -1.7978 -1.6989 -1.6196 -1.5323 -1.4501 -1.3699 -1.2906 -1.2120 -1.1346
 -1.0591 -0.9861 -0.9155 -0.8470 -0.7805 -0.6234 -0.4916 -0.3891 -0.3155 -0.2664
 -0.2336 -0.2096 -0.1892 -0.1701 -0.1513 -0.1324 -0.1136 -0.0955 -0.0791 -0.0664
 -0.0612
 -1.7771 -1.6689 -1.5783 -1.5036 -1.4267 -1.3549 -1.2870 -1.2198 -1.1525 -1.0850
 -1.0173 -0.9506 -0.8852 -0.8215 -0.7596 -0.6119 -0.4856 -0.3854 -0.3117 -0.2606
 -0.2277 -0.2070 -0.1926 -0.1806 -0.1686 -0.1559 -0.1425 -0.1285 -0.1148 -0.1024
 -0.0907
 -1.6417 -1.5549 -1.4732 -1.3961 -1.3295 -1.2704 -1.2133 -1.1407 -1.0841 -1.0269
 -0.9689 -0.9104 -0.8518 -0.7938 -0.7369 -0.6004 -0.4788 -0.3812 -0.3074 -0.2552
 -0.2207 -0.2000 -0.1887 -0.1823 -0.1774 -0.1717 -0.1650 -0.1569 -0.1477 -0.1384
 -0.1302
 -1.5123 -1.4561 -1.3837 -1.2970 -1.2408 -1.1967 -1.1239 -1.0744 -1.0250 -0.9599
 -0.9116 -0.8624 -0.8122 -0.7614 -0.7124 -0.5889 -0.4712 -0.3765 -0.3026
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -4.4328 -4.1834 -4.0179 -3.7022 -3.2434 -2.8660 -2.7184 -2.6843 -2.5942 -2.4067
 -2.1883 -1.9638 -1.7652 -1.5952 -1.4285 -1.0432
 -3.9185 -3.5794 -3.3371 -3.0693 -2.7732 -2.5310 -2.3922 -2.3062 -2.2041 -2.0647
 -1.9072 -1.7370 -1.5675 -1.4091 -1.2591 -0.9280 -0.6589 -0.4556 -0.2967
 -3.5279 -3.1334 -2.8404 -2.6003 -2.4037 -2.2461 -2.1179 -2.0068 -1.9013 -1.7932
 -1.6766 -1.5467 -1.4040 -1.2595 -1.1241 -0.8357 -0.6075 -0.4335 -0.3023 -0.2070
 -0.1428
 -3.2610 -2.8454 -2.5278 -2.2952 -2.1349 -2.0113 -1.8955 -1.7861 -1.6858 -1.5922
 -1.4965 -1.3929 -1.2747 -1.1464 -1.0235 -0.7663 -0.5686 -0.4181 -0.3070 -0.2233
 -0.1575 -0.1040 -0.0592
 -3.1178 -2.7154 -2.3993 -2.1540 -1.9668 -1.8266 -1.7250 -1.6441 -1.5576 -1.4617
 -1.3669 -1.2756 -1.1796 -1.0698 -0.9573 -0.7198 -0.5422 -0.4094 -0.3108 -0.2351
 -0.1745 -0.1240 -0.0808 -0.0425 -0.0105
 -3.0122 -2.6341 -2.3322 -2.0919 -1.9003 -1.7478 -1.6263 -1.5283 -1.4480 -1.3735
 -1.2891 -1.1972 -1.1085 -1.0154 -0.9145 -0.6907 -0.5248 -0.4039 -0.3156 -0.2475
 -0.1921 -0.1452 -0.1043 -0.0682 -0.0363 -0.0086
 -2.9031 -2.5581 -2.2785 -2.0512 -1.8648 -1.7104 -1.5815 -1.4730 -1.3798 -1.2969
 -1.2196 -1.1406 -1.0578 -0.9747 -0.8845 -0.6732 -0.5134 -0.3991 -0.3185 -0.2579
 -0.2083 -0.1658 -0.1283 -0.0946 -0.0639 -0.0364 -0.0126  0.0032  0.0083  0.0050
 -2.7796 -2.4710 -2.2181 -2.0091 -1.8336 -1.6840 -1.5549 -1.4421 -1.3431 -1.2540
 -1.1714 -1.0922 -1.0139 -0.9385 -0.8595 -0.6627 -0.5063 -0.3943 -0.3176 -0.2634
 -0.2205 -0.1836 -0.1507 -0.1206 -0.0925 -0.0664 -0.0432 -0.0230 -0.0111 -0.0113
 -0.0207
 -2.6496 -2.3739 -2.1467 -1.9573 -1.7957 -1.6550 -1.5302 -1.4183 -1.3173 -1.2258
 -1.1410 -1.0607 -0.9831 -0.9078 -0.8352 -0.6541 -0.5024 -0.3902 -0.3138 -0.2629
 -0.2262 -0.1960 -0.1689 -0.1438 -0.1198 -0.0968 -0.0752 -0.0558 -0.0401 -0.0314
 -0.0367
 -2.5184 -2.2718 -2.0663 -1.8941 -1.7463 -1.6158 -1.4981 -1.3906 -1.2917 -1.2004
 -1.1156 -1.0357 -0.9592 -0.8851 -0.8140 -0.6429 -0.4979 -0.3865 -0.3084 -0.2576
 -0.2245 -0.2005 -0.1803 -0.1615 -0.1431 -0.1247 -0.1066 -0.0892 -0.0736 -0.0616
 -0.0569
 -2.4029 -2.1807 -1.9897 -1.8288 -1.6914 -1.5701 -1.4602 -1.3584 -1.2636 -1.1751
 -1.0920 -1.0138 -0.9393 -0.8678 -0.7987 -0.6345 -0.4940 -0.3843 -0.3048 -0.2517
 -0.2186 -0.1980 -0.1838 -0.1719 -0.1603 -0.1480 -0.1352 -0.1220 -0.1089 -0.0972
 -0.0861
 -2.3074 -2.1022 -1.9221 -1.7668 -1.6336 -1.5183 -1.4146 -1.3188 -1.2290 -1.1445
 -1.0646 -0.9892 -0.9177 -0.8492 -0.7831 -0.6267 -0.4896 -0.3812 -0.3013 -0.2463
 -0.2113 -0.1910 -0.1800 -0.1738 -0.1691 -0.1638 -0.1576 -0.1501 -0.1416 -0.1330
 -0.1253
 -2.2319 -2.0363 -1.8657 -1.7130 -1.5805 -1.4656 -1.3644 -1.2729 -1.1877 -1.1076
 -1.0317 -0.9599 -0.8919 -0.8270 -0.7672 -0.6195 -0.4847 -0.3772 -0.2979
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  V   
 -5.1941 -4.7005 -4.3004 -4.0041 -3.6987 -3.4012 -3.0984 -2.8022 -2.5245 -2.2802
 -2.0598 -1.8569 -1.6712 -1.5022 -1.3041 -0.9766
 -4.8004 -4.2927 -3.8570 -3.4861 -3.1712 -2.8959 -2.6443 -2.4069 -2.1892 -1.9956
 -1.8169 -1.6453 -1.4793 -1.3245 -1.1691 -0.8743 -0.6370 -0.4484 -0.3066
 -4.4010 -3.8875 -3.4463 -3.0769 -2.7709 -2.5164 -2.2997 -2.1040 -1.9288 -1.7723
 -1.6262 -1.4822 -1.3363 -1.1948 -1.0648 -0.7954 -0.5873 -0.4246 -0.3008 -0.2077
 -0.1351
 -3.9959 -3.4849 -3.0683 -2.7765 -2.4978 -2.2628 -2.0646 -1.8935 -1.7433 -1.6103
 -1.4877 -1.3676 -1.2422 -1.1131 -0.9912 -0.7399 -0.5521 -0.4085 -0.2991 -0.2156
 -0.1490 -0.0960 -0.0519
 -3.6950 -3.1868 -2.7880 -2.4844 -2.2509 -2.0634 -1.9021 -1.7532 -1.6165 -1.4942
 -1.3843 -1.2813 -1.1766 -1.0628 -0.9483 -0.7078 -0.5314 -0.4001 -0.3015 -0.2258
 -0.1653 -0.1148 -0.0718 -0.0339 -0.0026
 -3.5748 -3.0637 -2.6526 -2.3351 -2.0923 -1.9050 -1.7571 -1.6350 -1.5274 -1.4240
 -1.3182 -1.2187 -1.1249 -1.0283 -0.9239 -0.6912 -0.5202 -0.3962 -0.3053 -0.2365
 -0.1812 -0.1346 -0.0941 -0.0585 -0.0273 -0.0004
 -3.5172 -3.0089 -2.5979 -2.2720 -2.0154 -1.8136 -1.6546 -1.5284 -1.4271 -1.3447
 -1.2663 -1.1791 -1.0892 -1.0001 -0.9072 -0.6837 -0.5148 -0.3940 -0.3082 -0.2455
 -0.1959 -0.1538 -0.1168 -0.0837 -0.0538 -0.0271 -0.0044  0.0105  0.0153  0.0122
 -3.4644 -2.9770 -2.5750 -2.2527 -1.9960 -1.7911 -1.6262 -1.4921 -1.3814 -1.2872
 -1.2047 -1.1296 -1.0540 -0.9753 -0.8919 -0.6809 -0.5124 -0.3922 -0.3086 -0.2505
 -0.2069 -0.1704 -0.1381 -0.1086 -0.0813 -0.0561 -0.0339 -0.0149 -0.0038 -0.0041
 -0.0135
 -3.3981 -2.9391 -2.5559 -2.2439 -1.9917 -1.7875 -1.6201 -1.4808 -1.3636 -1.2630
 -1.1735 -1.0917 -1.0153 -0.9429 -0.8707 -0.6782 -0.5120 -0.3904 -0.3067 -0.2507
 -0.2121 -0.1819 -0.1553 -0.1308 -0.1077 -0.0855 -0.0650 -0.0467 -0.0320 -0.0242
 -0.0296
 -3.3087 -2.8817 -2.5242 -2.2278 -1.9850 -1.7853 -1.6187 -1.4777 -1.3564 -1.2508
 -1.1570 -1.0715 -0.9915 -0.9160 -0.8451 -0.6693 -0.5107 -0.3879 -0.3025 -0.2464
 -0.2107 -0.1860 -0.1661 -0.1478 -0.1301 -0.1125 -0.0955 -0.0792 -0.0648 -0.0538
 -0.0499
 -3.2086 -2.8258 -2.4937 -2.2129 -1.9791 -1.7842 -1.6197 -1.4784 -1.3553 -1.2467
 -1.1496 -1.0616 -0.9800 -0.9030 -0.8302 -0.6605 -0.5097 -0.3878 -0.2997 -0.2413
 -0.2053 -0.1837 -0.1694 -0.1579 -0.1468 -0.1353 -0.1233 -0.1111 -0.0992 -0.0887
 -0.0788
 -3.1128 -2.7696 -2.4635 -2.1979 -1.9722 -1.7812 -1.6183 -1.4773 -1.3532 -1.2429
 -1.1439 -1.0541 -0.9716 -0.8945 -0.8214 -0.6533 -0.5068 -0.3873 -0.2978 -0.2364
 -0.1983 -0.1769 -0.1657 -0.1598 -0.1555 -0.1508 -0.1453 -0.1387 -0.1313 -0.1239
 -0.1173
 -3.0244 -2.7162 -2.4390 -2.1905 -1.9707 -1.7800 -1.6169 -1.4750 -1.3496 -1.2378
 -1.1371 -1.0459 -0.9627 -0.8858 -0.8187 -0.6477 -0.5020 -0.3864 -0.2968
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  V   
 -6.1072 -5.7438 -5.3855 -5.0180 -4.6575 -4.2426 -3.7427 -3.1660 -2.6707 -2.2854
 -1.9864 -1.7496 -1.5540 -1.3871 -1.2397 -0.9323
 -5.6734 -5.2181 -4.7973 -4.4005 -4.0252 -3.6408 -3.2144 -2.7522 -2.3580 -2.0431
 -1.7907 -1.5821 -1.4038 -1.2484 -1.1112 -0.8307 -0.6121 -0.4370 -0.2997
 -5.3204 -4.8112 -4.3485 -3.9290 -3.5451 -3.1845 -2.8187 -2.4444 -2.1236 -1.8606
 -1.6440 -1.4594 -1.2968 -1.1515 -1.0221 -0.7600 -0.5631 -0.4101 -0.2902 -0.1974
 -0.1241
 -5.0482 -4.5231 -4.0391 -3.6035 -3.2171 -2.8737 -2.5556 -2.2426 -1.9675 -1.7379
 -1.5463 -1.3815 -1.2330 -1.0964 -0.9724 -0.7202 -0.5350 -0.3952 -0.2873 -0.2037
 -0.1375 -0.0831 -0.0386
 -4.6710 -4.1496 -3.7333 -3.3435 -2.9811 -2.6536 -2.3634 -2.0955 -1.8544 -1.6487
 -1.4755 -1.3268 -1.1927 -1.0662 -0.9474 -0.7009 -0.5211 -0.3886 -0.2887 -0.2119
 -0.1511 -0.1009 -0.0583 -0.0212  0.0091
 -4.3369 -3.8060 -3.3657 -2.9995 -2.6917 -2.4295 -2.1978 -1.9755 -1.7668 -1.5813
 -1.4214 -1.2839 -1.1622 -1.0477 -0.9360 -0.6942 -0.5160 -0.3870 -0.2921 -0.2207
 -0.1649 -0.1187 -0.0788 -0.0441 -0.0137  0.0114
 -4.2147 -3.6443 -3.1658 -2.7725 -2.4522 -2.1905 -1.9778 -1.8049 -1.6564 -1.5178
 -1.3808 -1.2525 -1.1370 -1.0317 -0.9296 -0.6945 -0.5159 -0.3877 -0.2957 -0.2283
 -0.1774 -0.1357 -0.0995 -0.0674 -0.0386 -0.0133  0.0078  0.0214  0.0256  0.0229
 -4.1954 -3.5995 -3.0938 -2.6793 -2.3444 -2.0748 -1.8568 -1.6787 -1.5316 -1.4110
 -1.3103 -1.2150 -1.1165 -1.0181 -0.9229 -0.6981 -0.5186 -0.3892 -0.2981 -0.2335
 -0.1868 -0.1502 -0.1187 -0.0904 -0.0643 -0.0406 -0.0199 -0.0031  0.0072  0.0068
 -0.0020
 -4.2089 -3.6090 -3.0897 -2.6582 -2.3093 -2.0301 -1.8058 -1.6237 -1.4743 -1.3494
 -1.2434 -1.1529 -1.0729 -0.9940 -0.9118 -0.7021 -0.5229 -0.3911 -0.2988 -0.2354
 -0.1890 -0.1602 -0.1342 -0.1109 -0.0889 -0.0682 -0.0493 -0.0315 -0.0182 -0.0130
 -0.0184
 -4.1973 -3.6181 -3.1016 -2.6668 -2.3099 -2.0225 -1.7917 -1.6044 -1.4506 -1.3222
 -1.2128 -1.1172 -1.0320 -0.9553 -0.8834 -0.6993 -0.5260 -0.3918 -0.2973 -0.2334
 -0.1916 -0.1641 -0.1438 -0.1265 -0.1099 -0.0938 -0.0783 -0.0637 -0.0510 -0.0417
 -0.0387
 -4.1526 -3.6090 -3.1186 -2.6909 -2.3335 -2.0414 -1.8048 -1.6117 -1.4523 -1.3186
 -1.2045 -1.1050 -1.0161 -0.9350 -0.8604 -0.6900 -0.5292 -0.3950 -0.2970 -0.2306
 -0.1881 -0.1626 -0.1470 -0.1358 -0.1256 -0.1153 -0.1049 -0.0942 -0.0840 -0.0752
 -0.0669
 -4.0811 -3.5831 -3.1274 -2.7157 -2.3648 -2.0719 -1.8308 -1.6324 -1.4674 -1.3282
 -1.2087 -1.1045 -1.0119 -0.9279 -0.8505 -0.6791 -0.5280 -0.3979 -0.2975 -0.2276
 -0.1829 -0.1570 -0.1439 -0.1376 -0.1338 -0.1301 -0.1259 -0.1207 -0.1148 -0.1090
 -0.1041
 -3.9882 -3.5437 -3.1281 -2.7432 -2.4034 -2.1122 -1.8674 -1.6630 -1.4915 -1.3461
 -1.2209 -1.1117 -1.0149 -0.9279 -0.8537 -0.6666 -0.5224 -0.4005 -0.2988
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  V   
 -6.7542 -6.4449 -6.1561 -5.8750 -5.6658 -5.3269 -4.7219 -3.8414 -3.1258 -2.4065
 -1.9893 -1.6975 -1.4811 -1.3072 -1.1608 -0.8695
 -6.2976 -5.9346 -5.6077 -5.3045 -5.0296 -4.6799 -4.1433 -3.4102 -2.7371 -2.2172
 -1.8422 -1.5711 -1.3668 -1.2027 -1.0641 -0.7896 -0.5837 -0.4192 -0.2862
 -5.9603 -5.5464 -5.1770 -4.8425 -4.5221 -4.1706 -3.7008 -3.0928 -2.5353 -2.0851
 -1.7432 -1.4874 -1.2912 -1.1333 -0.9998 -0.7362 -0.5420 -0.3935 -0.2763 -0.1833
 -0.1100
 -5.7423 -5.2803 -4.8640 -4.4890 -4.1433 -3.7990 -3.3944 -2.8892 -2.4114 -2.0102
 -1.6923 -1.4464 -1.2543 -1.0990 -0.9679 -0.7093 -0.5213 -0.3810 -0.2729 -0.1877
 -0.1203 -0.0654 -0.0208
